NDVI,month-year,landsat
0.2161144867980184,1984-06-01,LANDSAT 5
0.25776524619282776,1984-07-01,LANDSAT 5
0.2453287764493873,1984-08-01,LANDSAT 5
0.2384154579898181,1984-09-01,LANDSAT 5
0.18615318106938533,1984-10-01,LANDSAT 5
0.09239649696122448,1984-11-01,LANDSAT 5
0.04445310094349746,1984-12-01,LANDSAT 5
0.051181179503968284,1985-02-01,LANDSAT 5
0.06154312065534015,1985-03-01,LANDSAT 5
0.13133079210683896,1985-04-01,LANDSAT 5
0.16753727101774388,1985-06-01,LANDSAT 5
0.05301142773005446,1985-07-01,LANDSAT 5
0.18734656973474936,1985-08-01,LANDSAT 5
0.1161236823003771,1985-09-01,LANDSAT 5
0.12905518011354003,1985-10-01,LANDSAT 5
0.003612732418898812,1985-11-01,LANDSAT 5
0.030690825366255847,1986-01-01,LANDSAT 5
0.024499942659564736,1986-02-01,LANDSAT 5
0.05190756152231616,1986-03-01,LANDSAT 5
0.08453929515593112,1986-04-01,LANDSAT 5
0.1813937461904098,1986-05-01,LANDSAT 5
0.04182648082537779,1986-06-01,LANDSAT 5
0.16950047898876677,1986-07-01,LANDSAT 5
0.16666860760277427,1986-08-01,LANDSAT 5
0.15369807672286115,1986-09-01,LANDSAT 5
0.14988175984556062,1986-10-01,LANDSAT 5
0.06076239807508882,1986-11-01,LANDSAT 5
0.022961806320096558,1986-12-01,LANDSAT 5
0.030843814985985266,1987-01-01,LANDSAT 5
0.008583912119931729,1987-02-01,LANDSAT 5
0.03637048536432522,1987-03-01,LANDSAT 5
0.18711165213834893,1987-05-01,LANDSAT 5
0.20072383263434407,1987-06-01,LANDSAT 5
0.20860157221981038,1987-07-01,LANDSAT 5
0.1574628776845179,1987-08-01,LANDSAT 5
0.21307196944281462,1987-09-01,LANDSAT 5
0.18276811680065091,1987-10-01,LANDSAT 5
0.048973997798540614,1987-11-01,LANDSAT 5
0.03129160548593676,1987-12-01,LANDSAT 5
-0.013855052227946467,1988-01-01,LANDSAT 5
0.031920629147579545,1988-02-01,LANDSAT 5
0.05277157806830339,1988-03-01,LANDSAT 5
0.08683655350576987,1988-04-01,LANDSAT 5
0.15493024894342117,1988-05-01,LANDSAT 5
0.24173834745939174,1988-06-01,LANDSAT 5
0.12827104363377992,1988-07-01,LANDSAT 5
0.23457190964882296,1988-08-01,LANDSAT 5
0.1861931019193769,1988-09-01,LANDSAT 5
0.1258447221506655,1988-10-01,LANDSAT 5
0.09386939488902166,1988-11-01,LANDSAT 5
0.030674560958801923,1988-12-01,LANDSAT 5
0.03589114430006825,1989-01-01,LANDSAT 5
0.0027981204715436703,1989-02-01,LANDSAT 5
0.03480228009199615,1989-03-01,LANDSAT 5
0.08399611645601456,1989-04-01,LANDSAT 5
0.09442791126913178,1989-05-01,LANDSAT 5
0.14765133669080352,1989-06-01,LANDSAT 5
0.15235065018352836,1989-07-01,LANDSAT 5
0.1551205455207473,1989-08-01,LANDSAT 5
0.2051903422326298,1989-09-01,LANDSAT 5
0.11479380207860741,1989-10-01,LANDSAT 5
0.07850979606480103,1989-11-01,LANDSAT 5
0.024703200828616746,1989-12-01,LANDSAT 5
-0.0025107654844548203,1990-01-01,LANDSAT 5
0.11087470734225466,1990-04-01,LANDSAT 5
0.10656478081068661,1990-05-01,LANDSAT 5
0.1879910463637274,1990-06-01,LANDSAT 5
0.2103124572165749,1990-07-01,LANDSAT 5
0.2529160668512643,1990-08-01,LANDSAT 5
0.11102966811029613,1990-09-01,LANDSAT 5
