NDVI,month-year,landsat
0.23560480370181053,1984-04-01,LANDSAT 5
0.2640838163082027,1984-05-01,LANDSAT 5
0.24926497553587781,1984-06-01,LANDSAT 5
0.2203428055357314,1984-07-01,LANDSAT 5
0.22080416745459117,1984-09-01,LANDSAT 5
0.2299848973978216,1984-10-01,LANDSAT 5
0.15306842158588418,1984-12-01,LANDSAT 5
0.26478889758581997,1985-03-01,LANDSAT 5
0.2767701404334503,1985-04-01,LANDSAT 5
0.2615537289079993,1985-05-01,LANDSAT 5
0.21878124353630735,1985-07-01,LANDSAT 5
0.05482932301420977,1985-08-01,LANDSAT 5
0.05737922309077285,1985-09-01,LANDSAT 5
0.1847391157570646,1985-10-01,LANDSAT 5
0.017364092388870475,1985-11-01,LANDSAT 5
0.21289369449398549,1986-01-01,LANDSAT 5
0.1968126076306286,1986-03-01,LANDSAT 5
0.07250892311094018,1986-04-01,LANDSAT 5
0.2652001993958248,1986-05-01,LANDSAT 5
0.2082148428526637,1986-06-01,LANDSAT 5
0.15843504042960432,1986-07-01,LANDSAT 5
0.1223706047755109,1986-08-01,LANDSAT 5
0.20318343702560074,1986-09-01,LANDSAT 5
0.21139980318189266,1986-10-01,LANDSAT 5
0.16731248749932084,1986-11-01,LANDSAT 5
0.1923463747897236,1987-01-01,LANDSAT 5
0.21145632372586717,1987-02-01,LANDSAT 5
0.26860175456057234,1987-04-01,LANDSAT 5
0.1586451030716195,1987-05-01,LANDSAT 5
0.13343322487704537,1987-06-01,LANDSAT 5
0.2191237786839925,1987-07-01,LANDSAT 5
0.16192154477898826,1987-08-01,LANDSAT 5
0.17835486948026222,1987-09-01,LANDSAT 5
0.17348617887645007,1987-10-01,LANDSAT 5
0.2652432283793174,1988-03-01,LANDSAT 5
0.18715533889783792,1988-04-01,LANDSAT 5
0.21904753937514118,1988-05-01,LANDSAT 5
0.23285880351182303,1988-06-01,LANDSAT 5
0.14230490093823048,1988-07-01,LANDSAT 5
0.15852727620459658,1988-08-01,LANDSAT 5
0.11050090984717766,1988-09-01,LANDSAT 5
0.15355811543920336,1988-10-01,LANDSAT 5
0.0346853515648973,1988-11-01,LANDSAT 5
0.18712647293850337,1988-12-01,LANDSAT 5
0.2028340537237277,1989-01-01,LANDSAT 5
0.106865847034591,1989-02-01,LANDSAT 5
0.21575410159693317,1989-03-01,LANDSAT 5
0.0464673005192216,1989-04-01,LANDSAT 5
