NDVI,month-year,landsat
0.23934885064584588,1984-03-01,LANDSAT 5
0.028108617641865306,1984-04-01,LANDSAT 5
0.38724431997594555,1984-05-01,LANDSAT 5
0.3295293283216388,1984-06-01,LANDSAT 5
0.39893454514492743,1984-07-01,LANDSAT 5
0.3616761746435357,1984-08-01,LANDSAT 5
0.32148100437718435,1984-09-01,LANDSAT 5
0.1359491403949583,1984-10-01,LANDSAT 5
0.2680218443702499,1984-11-01,LANDSAT 5
0.13743757548840654,1984-12-01,LANDSAT 5
0.1547063796659916,1985-01-01,LANDSAT 5
0.10486844763897916,1985-02-01,LANDSAT 5
0.30209789513887636,1985-03-01,LANDSAT 5
0.33113011569910206,1985-04-01,LANDSAT 5
0.46138607462761594,1985-05-01,LANDSAT 5
0.48128076258020003,1985-06-01,LANDSAT 5
0.24255459544922822,1985-07-01,LANDSAT 5
0.4027993598749006,1985-08-01,LANDSAT 5
0.3073050070611653,1985-09-01,LANDSAT 5
0.07525923234385702,1985-10-01,LANDSAT 5
0.06868625197128582,1985-11-01,LANDSAT 5
0.19059692882973486,1985-12-01,LANDSAT 5
0.05726409896692063,1986-01-01,LANDSAT 5
0.2004872275239269,1986-02-01,LANDSAT 5
0.277391928526818,1986-03-01,LANDSAT 5
0.07379592168817838,1986-05-01,LANDSAT 5
0.2615286372849445,1986-06-01,LANDSAT 5
0.24634289412989543,1986-07-01,LANDSAT 5
0.40022218270526905,1986-08-01,LANDSAT 5
0.349086128516846,1986-09-01,LANDSAT 5
0.34229032872660836,1986-10-01,LANDSAT 5
0.0414695839964937,1986-11-01,LANDSAT 5
0.03683601406666635,1986-12-01,LANDSAT 5
0.03282366532203217,1987-01-01,LANDSAT 5
0.1482995624516785,1987-02-01,LANDSAT 5
0.04155906850527869,1987-03-01,LANDSAT 5
0.31961068923230523,1987-04-01,LANDSAT 5
0.3723924609790911,1987-05-01,LANDSAT 5
0.33414641963651187,1987-06-01,LANDSAT 5
0.4594319883160292,1987-07-01,LANDSAT 5
0.3818390797445359,1987-08-01,LANDSAT 5
0.4075966998502147,1987-09-01,LANDSAT 5
0.23054715058505315,1987-10-01,LANDSAT 5
0.24379168505063856,1987-11-01,LANDSAT 5
0.1856135595762505,1987-12-01,LANDSAT 5
0.16356935373708922,1988-01-01,LANDSAT 5
0.14227921683486927,1988-02-01,LANDSAT 5
0.2197272508416221,1988-03-01,LANDSAT 5
0.2927154713519229,1988-04-01,LANDSAT 5
0.22651091676413743,1988-05-01,LANDSAT 5
0.345743791575175,1988-06-01,LANDSAT 5
0.35787263053072815,1988-07-01,LANDSAT 5
0.2615763603810883,1988-08-01,LANDSAT 5
0.3301574585343477,1988-09-01,LANDSAT 5
0.3536552243816403,1988-10-01,LANDSAT 5
0.2662288664297925,1988-11-01,LANDSAT 5
0.17764215605840594,1988-12-01,LANDSAT 5
0.11854932767322912,1989-01-01,LANDSAT 5
0.09604034680390207,1989-02-01,LANDSAT 5
0.171619029599467,1989-03-01,LANDSAT 5
0.3617353589027895,1989-04-01,LANDSAT 5
0.38564278277706776,1989-05-01,LANDSAT 5
0.26209346444512266,1989-06-01,LANDSAT 5
0.4509115197803053,1989-07-01,LANDSAT 5
0.3790128888594296,1989-08-01,LANDSAT 5
0.37114034851657507,1989-09-01,LANDSAT 5
0.29720553045838577,1989-10-01,LANDSAT 5
