NDVI,month-year,landsat
0.3953665036122138,1984-04-01,LANDSAT 5
0.38825866342614157,1984-06-01,LANDSAT 5
0.2922021789441347,1984-07-01,LANDSAT 5
0.41143396168735824,1984-08-01,LANDSAT 5
0.11535188469312184,1984-10-01,LANDSAT 5
0.03229797272974003,1984-11-01,LANDSAT 5
0.08065037977006367,1984-12-01,LANDSAT 5
0.06757690137700006,1985-01-01,LANDSAT 5
0.21516361689301022,1985-02-01,LANDSAT 5
0.1477478388910879,1985-03-01,LANDSAT 5
0.06739171933198303,1985-04-01,LANDSAT 5
0.28053326005798834,1985-05-01,LANDSAT 5
0.3623316467696435,1985-06-01,LANDSAT 5
0.40302240323216953,1985-07-01,LANDSAT 5
0.31498654341453847,1985-08-01,LANDSAT 5
0.412995850840023,1985-09-01,LANDSAT 5
0.2481975651046913,1985-10-01,LANDSAT 5
0.19244721755289362,1985-11-01,LANDSAT 5
0.035461972365258804,1986-02-01,LANDSAT 5
0.186614266939876,1986-03-01,LANDSAT 5
0.41224004313572943,1986-04-01,LANDSAT 5
0.19489820214811052,1986-05-01,LANDSAT 5
0.481011049254763,1986-06-01,LANDSAT 5
0.23986590082609885,1986-07-01,LANDSAT 5
0.2395402696466044,1986-08-01,LANDSAT 5
0.3826297264132533,1986-09-01,LANDSAT 5
0.2282003039378382,1986-10-01,LANDSAT 5
0.15837214638492866,1986-11-01,LANDSAT 5
0.02909867352468776,1986-12-01,LANDSAT 5
0.14470053733290794,1987-01-01,LANDSAT 5
0.20800141399587518,1987-02-01,LANDSAT 5
0.36656114580098387,1987-03-01,LANDSAT 5
0.2826907866498689,1987-04-01,LANDSAT 5
0.27640459297588044,1987-05-01,LANDSAT 5
0.4619101948137364,1987-06-01,LANDSAT 5
0.44564748580171776,1987-07-01,LANDSAT 5
0.2893834524628087,1987-08-01,LANDSAT 5
0.3335604365369939,1987-09-01,LANDSAT 5
0.09725354135206617,1987-10-01,LANDSAT 5
0.25948580554406925,1988-03-01,LANDSAT 5
0.31432803880988297,1988-04-01,LANDSAT 5
0.31881942007795977,1988-06-01,LANDSAT 5
0.3030382385306101,1988-07-01,LANDSAT 5
0.2085810912130945,1988-08-01,LANDSAT 5
0.13248442693847517,1988-09-01,LANDSAT 5
0.02898520709127267,1988-10-01,LANDSAT 5
0.3311702253424566,1989-04-01,LANDSAT 5
0.2500198201780964,1989-05-01,LANDSAT 5
0.1414750690463693,1989-06-01,LANDSAT 5
0.29885483027022,1989-07-01,LANDSAT 5
0.30800645986694053,1989-08-01,LANDSAT 5
0.2618239228002283,1989-09-01,LANDSAT 5
0.1995539623891727,1989-10-01,LANDSAT 5
0.21203217795424512,1990-03-01,LANDSAT 5
0.3778149898618928,1990-04-01,LANDSAT 5
0.3131349898593351,1990-05-01,LANDSAT 5
0.03633925553616103,1990-06-01,LANDSAT 5
0.3375920702090931,1990-07-01,LANDSAT 5
0.39472056550515233,1990-08-01,LANDSAT 5
0.2032827436399696,1990-09-01,LANDSAT 5
0.2683653818346522,1990-10-01,LANDSAT 5
0.31782783603999676,1991-03-01,LANDSAT 5
0.13208529800837007,1991-04-01,LANDSAT 5
0.23053334174605042,1991-05-01,LANDSAT 5
0.42564117948365443,1991-06-01,LANDSAT 5
0.4213253545461772,1991-07-01,LANDSAT 5
0.3444422838685793,1991-08-01,LANDSAT 5
0.41882235688965436,1991-09-01,LANDSAT 5
0.3323689708274001,1991-10-01,LANDSAT 5
0.06292732387657886,1992-03-01,LANDSAT 5
0.22252302320826778,1992-04-01,LANDSAT 5
0.2618792060060312,1992-05-01,LANDSAT 5
0.22775689534706559,1992-06-01,LANDSAT 5
0.39212485494345306,1992-07-01,LANDSAT 5
0.38412872780054796,1992-08-01,LANDSAT 5
0.30683879561356603,1992-09-01,LANDSAT 5
0.11060459286615922,1992-10-01,LANDSAT 5
0.12007447514445921,1992-11-01,LANDSAT 5
0.07372136410923227,1992-12-01,LANDSAT 5
0.12077964257200392,1993-01-01,LANDSAT 5
0.14588428738351122,1993-02-01,LANDSAT 5
0.2145761842746928,1993-03-01,LANDSAT 5
0.1715636104846007,1993-04-01,LANDSAT 5
0.2892694215060646,1993-05-01,LANDSAT 5
0.20183273723348394,1993-06-01,LANDSAT 5
0.43772470653935847,1993-07-01,LANDSAT 5
0.2413422468290287,1993-08-01,LANDSAT 5
0.3538566627021815,1993-09-01,LANDSAT 5
0.16880494643395072,1993-10-01,LANDSAT 5
0.09705789840460634,1993-11-01,LANDSAT 5
0.19065537791501075,1993-12-01,LANDSAT 5
0.10421892450252962,1994-01-01,LANDSAT 5
0.02658601419855718,1994-02-01,LANDSAT 5
0.17295493926125827,1994-03-01,LANDSAT 5
0.20269525521944654,1994-04-01,LANDSAT 5
0.1524775491290082,1994-05-01,LANDSAT 5
0.16652993088383428,1994-06-01,LANDSAT 5
0.23218792832903656,1994-07-01,LANDSAT 5
0.20938371028225808,1994-08-01,LANDSAT 5
0.40275701974328354,1994-09-01,LANDSAT 5
0.30138647328047663,1994-11-01,LANDSAT 5
0.04035378696561259,1994-12-01,LANDSAT 5
0.18503344494746252,1995-01-01,LANDSAT 5
0.14209934528572638,1995-02-01,LANDSAT 5
0.140580900024111,1995-03-01,LANDSAT 5
0.11425320003539881,1995-04-01,LANDSAT 5
0.30117144701702714,1995-05-01,LANDSAT 5
0.3029394934403722,1995-06-01,LANDSAT 5
0.44282970221244183,1995-07-01,LANDSAT 5
0.20778048462489357,1995-08-01,LANDSAT 5
0.1704843328510186,1995-09-01,LANDSAT 5
0.24799903256524417,1995-10-01,LANDSAT 5
0.07173203119449618,1995-11-01,LANDSAT 5
0.2001069085339464,1996-02-01,LANDSAT 5
0.23316224513371325,1996-03-01,LANDSAT 5
0.21865206089491715,1996-04-01,LANDSAT 5
0.39061892168448004,1996-05-01,LANDSAT 5
0.24857797357829717,1996-06-01,LANDSAT 5
0.22811096823666455,1996-07-01,LANDSAT 5
0.35007602579797475,1996-08-01,LANDSAT 5
0.19222533110020437,1996-09-01,LANDSAT 5
0.3027990216760612,1996-10-01,LANDSAT 5
0.12402678696643066,1996-11-01,LANDSAT 5
0.15904262580538386,1996-12-01,LANDSAT 5
0.20389057562493823,1997-01-01,LANDSAT 5
0.24847580722336687,1997-02-01,LANDSAT 5
0.2229636933185481,1997-03-01,LANDSAT 5
0.037335948954094755,1997-04-01,LANDSAT 5
0.1922249796000137,1997-05-01,LANDSAT 5
0.16427554800067873,1997-06-01,LANDSAT 5
0.2537331290175308,1997-07-01,LANDSAT 5
0.2811373492532458,1997-08-01,LANDSAT 5
0.20020618490687295,1997-09-01,LANDSAT 5
0.23419432014561387,1997-10-01,LANDSAT 5
