NDVI,month-year,landsat
0.2644722446536904,1984-04-01,LANDSAT 5
0.38912640898538003,1984-06-01,LANDSAT 5
0.43023291468357877,1984-07-01,LANDSAT 5
0.35527203680610187,1984-08-01,LANDSAT 5
0.3267591533624004,1984-09-01,LANDSAT 5
0.16321640515443744,1985-02-01,LANDSAT 5
0.1756642168199003,1985-03-01,LANDSAT 5
0.2812484346781547,1985-04-01,LANDSAT 5
0.1823186326203741,1985-07-01,LANDSAT 5
0.1336632351118463,1985-08-01,LANDSAT 5
0.42486046792292687,1985-09-01,LANDSAT 5
0.3359198515237436,1985-10-01,LANDSAT 5
0.060176333464385945,1985-11-01,LANDSAT 5
0.11763537110389558,1986-01-01,LANDSAT 5
0.000671936032064575,1986-02-01,LANDSAT 5
0.18464386396821358,1986-03-01,LANDSAT 5
0.3172936946210418,1986-04-01,LANDSAT 5
0.4113791757088305,1986-05-01,LANDSAT 5
0.28549636117863075,1986-06-01,LANDSAT 5
0.4644980671966373,1986-07-01,LANDSAT 5
0.47508429534425284,1986-08-01,LANDSAT 5
0.055730603455255684,1986-09-01,LANDSAT 5
0.38673202388705713,1986-10-01,LANDSAT 5
0.26524852983254876,1986-11-01,LANDSAT 5
0.15422956910375193,1986-12-01,LANDSAT 5
0.1232870176941738,1987-02-01,LANDSAT 5
0.2935837106599401,1987-04-01,LANDSAT 5
0.19811760462901498,1987-05-01,LANDSAT 5
0.4333819885860756,1987-06-01,LANDSAT 5
0.45938641312220985,1987-07-01,LANDSAT 5
0.48306268555695314,1987-08-01,LANDSAT 5
0.36876449248888143,1987-09-01,LANDSAT 5
0.21593166127603242,1987-10-01,LANDSAT 5
0.1937686793944947,1987-11-01,LANDSAT 5
0.08318210267704747,1987-12-01,LANDSAT 5
0.09819183977547234,1988-01-01,LANDSAT 5
0.07825957243294139,1988-02-01,LANDSAT 5
0.1523218368157956,1988-03-01,LANDSAT 5
0.28061998427294715,1988-04-01,LANDSAT 5
0.3612981538743803,1988-05-01,LANDSAT 5
0.3967316269479123,1988-06-01,LANDSAT 5
0.41727684586396957,1988-07-01,LANDSAT 5
0.20737433564822247,1988-08-01,LANDSAT 5
0.3814152827433408,1988-09-01,LANDSAT 5
0.2019099322761557,1988-11-01,LANDSAT 5
0.1435581461871143,1988-12-01,LANDSAT 5
0.1482259674672285,1989-01-01,LANDSAT 5
0.02434179795262058,1989-02-01,LANDSAT 5
0.007384771545517214,1989-03-01,LANDSAT 5
0.13900680981352348,1989-04-01,LANDSAT 5
0.17645575795307084,1989-05-01,LANDSAT 5
0.4016189648145853,1989-06-01,LANDSAT 5
0.419150381045872,1989-07-01,LANDSAT 5
0.4041603816918295,1989-08-01,LANDSAT 5
0.32655539588834526,1989-09-01,LANDSAT 5
0.3232413302614283,1989-10-01,LANDSAT 5
0.2988987883567576,1989-11-01,LANDSAT 5
0.08449339731805379,1989-12-01,LANDSAT 5
0.2628472487721814,1990-04-01,LANDSAT 5
0.48887301999760296,1990-05-01,LANDSAT 5
0.43434759552461283,1990-06-01,LANDSAT 5
0.4435393730989591,1990-07-01,LANDSAT 5
0.43774364218432826,1990-08-01,LANDSAT 5
0.3717789549847712,1990-09-01,LANDSAT 5
0.3240558630280987,1990-10-01,LANDSAT 5
0.24234001403027342,1990-11-01,LANDSAT 5
0.18792153811513218,1990-12-01,LANDSAT 5
0.01719558368510755,1991-01-01,LANDSAT 5
0.17920120632485492,1991-02-01,LANDSAT 5
0.21271027705557122,1991-03-01,LANDSAT 5
0.21290554165026396,1991-04-01,LANDSAT 5
0.31164869155132047,1991-05-01,LANDSAT 5
0.3508537306115684,1991-06-01,LANDSAT 5
0.475057025591494,1991-07-01,LANDSAT 5
0.4176165206867771,1991-08-01,LANDSAT 5
0.2800693159953778,1991-09-01,LANDSAT 5
0.21425013777005047,1991-10-01,LANDSAT 5
0.1139574949523675,1991-11-01,LANDSAT 5
0.12456413448333309,1991-12-01,LANDSAT 5
0.12677278430695932,1992-01-01,LANDSAT 5
0.12978641373551064,1992-02-01,LANDSAT 5
0.08869530109084255,1992-03-01,LANDSAT 5
0.19500476572574096,1992-04-01,LANDSAT 5
0.33498328619419504,1992-05-01,LANDSAT 5
0.36809254550591897,1992-06-01,LANDSAT 5
0.05347343362416337,1992-07-01,LANDSAT 5
0.4772649219728775,1992-08-01,LANDSAT 5
0.41504729590633893,1992-09-01,LANDSAT 5
0.26553953420536025,1992-10-01,LANDSAT 5
0.21099290003986979,1992-11-01,LANDSAT 5
0.20210268091153377,1992-12-01,LANDSAT 5
0.1975066060420937,1993-04-01,LANDSAT 5
0.38531343465868145,1993-05-01,LANDSAT 5
0.1660217100881679,1993-06-01,LANDSAT 5
0.4636687049901357,1993-07-01,LANDSAT 5
0.49113279235054663,1993-08-01,LANDSAT 5
0.44935342812453977,1993-09-01,LANDSAT 5
0.1810294071244463,1993-11-01,LANDSAT 5
0.1528263437330503,1994-01-01,LANDSAT 5
0.07168204649585753,1994-02-01,LANDSAT 5
0.1047469828253725,1994-03-01,LANDSAT 5
0.02715169902391003,1994-04-01,LANDSAT 5
0.4001294218231602,1994-05-01,LANDSAT 5
0.4342458635413452,1994-06-01,LANDSAT 5
0.4502930120264293,1994-07-01,LANDSAT 5
0.4422769230276134,1994-08-01,LANDSAT 5
0.3996123245473525,1994-09-01,LANDSAT 5
0.3396127354564906,1994-10-01,LANDSAT 5
0.25985305839181994,1994-11-01,LANDSAT 5
-0.0047726306215663565,1994-12-01,LANDSAT 5
0.05773011224714348,1995-01-01,LANDSAT 5
0.17523804926739656,1995-02-01,LANDSAT 5
-0.023300076657435265,1995-03-01,LANDSAT 5
0.18478672186096146,1995-04-01,LANDSAT 5
0.33966559579068495,1995-05-01,LANDSAT 5
0.3235687675460976,1995-06-01,LANDSAT 5
0.35312880923462864,1995-07-01,LANDSAT 5
0.172503079932502,1995-08-01,LANDSAT 5
0.24663522168950258,1995-09-01,LANDSAT 5
0.36090017277436104,1995-10-01,LANDSAT 5
0.16491420360787318,1995-11-01,LANDSAT 5
0.08233982672346295,1996-01-01,LANDSAT 5
0.1656544340867757,1996-02-01,LANDSAT 5
0.15628644269379674,1996-03-01,LANDSAT 5
0.2026073901474015,1996-04-01,LANDSAT 5
0.4029584113305162,1996-06-01,LANDSAT 5
0.45534311286471074,1996-08-01,LANDSAT 5
0.43931952288312953,1996-09-01,LANDSAT 5
0.3640720641510362,1996-10-01,LANDSAT 5
0.01840277741672235,1997-01-01,LANDSAT 5
0.03288948865434267,1997-03-01,LANDSAT 5
0.2202275739990683,1997-05-01,LANDSAT 5
0.3415904147771355,1997-06-01,LANDSAT 5
0.4242919484468397,1997-07-01,LANDSAT 5
0.42200759875578936,1997-08-01,LANDSAT 5
0.435348192465689,1997-09-01,LANDSAT 5
0.22251754285000383,1997-10-01,LANDSAT 5
0.2625950805396915,1997-11-01,LANDSAT 5
0.16174511413408427,1997-12-01,LANDSAT 5
0.016352818072272464,1998-03-01,LANDSAT 5
0.32805653626957404,1998-04-01,LANDSAT 5
0.16733498126949853,1998-05-01,LANDSAT 5
0.08037285879921174,1998-06-01,LANDSAT 5
0.28436244503847286,1998-07-01,LANDSAT 5
0.24970365758626817,1998-08-01,LANDSAT 5
0.33051028393257875,1998-09-01,LANDSAT 5
0.3209368377053913,1999-07-01,LANDSAT 7
0.2927696887881241,1999-08-01,LANDSAT 7
0.4250206681107219,1999-09-01,LANDSAT 7
0.31866833103618974,1999-10-01,LANDSAT 7
0.2448369501306394,1999-11-01,LANDSAT 7
0.121796942806041,1999-12-01,LANDSAT 7
0.11603091032264169,2000-01-01,LANDSAT 7
0.14701852381293434,2000-02-01,LANDSAT 7
0.2776866480032145,2000-03-01,LANDSAT 7
0.23640298894431344,2000-04-01,LANDSAT 7
0.3377770792557054,2000-05-01,LANDSAT 7
0.34174337908773095,2000-06-01,LANDSAT 7
0.4029811193585417,2000-07-01,LANDSAT 7
0.37547449091960117,2000-08-01,LANDSAT 7
0.37365250072005257,2000-09-01,LANDSAT 7
0.17382775471379971,2000-10-01,LANDSAT 7
0.16986223272396336,2000-11-01,LANDSAT 7
-0.15742257646235502,2001-02-01,LANDSAT 7
0.09457421485566743,2001-03-01,LANDSAT 7
0.1443312915741255,2001-04-01,LANDSAT 7
0.38459791737103377,2001-05-01,LANDSAT 7
0.4278606850904197,2001-06-01,LANDSAT 7
0.3014019163380526,2001-07-01,LANDSAT 7
0.39162785638707065,2001-08-01,LANDSAT 7
0.40904459755959793,2001-09-01,LANDSAT 7
0.39453521767370303,2001-10-01,LANDSAT 7
0.1750344694257134,2001-11-01,LANDSAT 7
0.26603467927594415,2001-12-01,LANDSAT 7
0.12877328162793925,2002-01-01,LANDSAT 7
0.1070122750665297,2002-02-01,LANDSAT 7
0.11081271183723583,2002-03-01,LANDSAT 7
0.2064440232017391,2002-04-01,LANDSAT 7
0.1795302889006586,2002-05-01,LANDSAT 7
0.35357432954744294,2002-06-01,LANDSAT 7
0.37703580359599015,2002-07-01,LANDSAT 7
0.2912439865155645,2002-08-01,LANDSAT 7
0.2501564316243108,2002-09-01,LANDSAT 7
0.36327981912701074,2002-10-01,LANDSAT 7
0.2930965638628155,2002-11-01,LANDSAT 7
0.24061864269202196,2002-12-01,LANDSAT 7
0.12426100985431804,2003-01-01,LANDSAT 7
0.05456198244157042,2003-02-01,LANDSAT 7
0.18702738803543767,2003-03-01,LANDSAT 7
0.11690635555057464,2003-04-01,LANDSAT 7
0.41939692048964516,2003-05-01,LANDSAT 7
0.40297951084876515,2003-07-01,LANDSAT 7
0.1765124724024893,2003-08-01,LANDSAT 7
0.350354817844413,2003-09-01,LANDSAT 7
0.33788330200714967,2003-10-01,LANDSAT 7
0.2897776147356234,2003-11-01,LANDSAT 7
0.06942327491901458,2003-12-01,LANDSAT 7
0.02830955177881329,2004-01-01,LANDSAT 7
0.028785234843778443,2004-02-01,LANDSAT 7
0.19656658903904117,2004-03-01,LANDSAT 7
0.2244683550194626,2004-04-01,LANDSAT 7
0.29006773207240283,2004-05-01,LANDSAT 7
-0.9474609617580498,2004-06-01,LANDSAT 7
0.42952871835019973,2004-07-01,LANDSAT 7
0.41151273298705526,2004-08-01,LANDSAT 7
0.41162782161880995,2004-09-01,LANDSAT 7
0.3709218789753025,2004-10-01,LANDSAT 7
0.2030741493559013,2004-11-01,LANDSAT 7
0.060365177789265104,2004-12-01,LANDSAT 7
0.19143105021186838,2005-02-01,LANDSAT 7
0.20656298180471552,2005-03-01,LANDSAT 7
0.11688805599964805,2005-04-01,LANDSAT 7
0.3440227784150203,2005-05-01,LANDSAT 7
0.2905005458341559,2005-06-01,LANDSAT 7
0.4039606643754724,2005-07-01,LANDSAT 7
0.40170148796687766,2005-08-01,LANDSAT 7
0.394377619857533,2005-09-01,LANDSAT 7
0.23325728834263665,2005-10-01,LANDSAT 7
0.19538974817478244,2006-01-01,LANDSAT 7
0.15086052949345954,2006-03-01,LANDSAT 7
0.36317663559453034,2006-04-01,LANDSAT 7
0.2887884631111826,2006-05-01,LANDSAT 7
0.3697500484672053,2006-06-01,LANDSAT 7
0.36045403671409826,2006-07-01,LANDSAT 7
0.33090774703660186,2006-08-01,LANDSAT 7
0.2585534923088084,2006-09-01,LANDSAT 7
0.257045748121334,2006-10-01,LANDSAT 7
0.050935036694704644,2006-11-01,LANDSAT 7
0.04749222518477147,2006-12-01,LANDSAT 7
0.03004210905082565,2007-01-01,LANDSAT 7
0.19063191494758314,2007-03-01,LANDSAT 7
0.31921352660045627,2007-04-01,LANDSAT 7
0.33486377708213694,2007-05-01,LANDSAT 7
0.3828565452130428,2007-06-01,LANDSAT 7
0.34697513693834336,2007-07-01,LANDSAT 7
0.4325519569170144,2007-08-01,LANDSAT 7
0.42880781120606465,2007-09-01,LANDSAT 7
-0.568788574747624,2007-10-01,LANDSAT 7
0.33743972338484435,2007-11-01,LANDSAT 7
0.006617059329490314,2007-12-01,LANDSAT 7
0.0301072718582666,2008-01-01,LANDSAT 7
0.09076474630270709,2008-02-01,LANDSAT 7
0.1335039251254309,2008-03-01,LANDSAT 7
0.30595853317918603,2008-04-01,LANDSAT 7
0.37354029672223765,2008-05-01,LANDSAT 7
0.4488282646442643,2008-06-01,LANDSAT 7
0.380990553416891,2008-07-01,LANDSAT 7
0.4056111078816629,2008-08-01,LANDSAT 7
0.41357570360878454,2008-09-01,LANDSAT 7
0.3041144261822318,2008-10-01,LANDSAT 7
0.10569111631438462,2008-11-01,LANDSAT 7
0.25759176719653526,2008-12-01,LANDSAT 7
0.1444397536714547,2009-02-01,LANDSAT 7
0.10375188336827867,2009-03-01,LANDSAT 7
0.19430241865331538,2009-04-01,LANDSAT 7
0.37839284579898363,2009-05-01,LANDSAT 7
0.4087734275047877,2009-06-01,LANDSAT 7
0.41710524214038835,2009-07-01,LANDSAT 7
0.4222321088580169,2009-08-01,LANDSAT 7
0.3910686636674791,2009-09-01,LANDSAT 7
0.28953132809283466,2009-11-01,LANDSAT 7
0.020286778424045356,2010-01-01,LANDSAT 7
-0.013266891257344135,2010-02-01,LANDSAT 7
