NDVI,month-year,landsat
0.11982609605419156,1984-03-01,LANDSAT 5
0.3277585235472941,1984-07-01,LANDSAT 5
0.3603647514585481,1984-08-01,LANDSAT 5
0.332414214795544,1984-09-01,LANDSAT 5
0.19719739563925023,1984-10-01,LANDSAT 5
0.18996119504351544,1984-11-01,LANDSAT 5
0.12276957750329981,1984-12-01,LANDSAT 5
0.0775163139890358,1985-02-01,LANDSAT 5
0.1574817157520976,1985-03-01,LANDSAT 5
0.22469004052986746,1985-04-01,LANDSAT 5
0.1787768016556627,1985-06-01,LANDSAT 5
0.20780902224559752,1985-07-01,LANDSAT 5
0.344841915781615,1985-08-01,LANDSAT 5
0.09012645097070704,1985-09-01,LANDSAT 5
0.2058580494961589,1985-10-01,LANDSAT 5
0.05141700463994142,1985-11-01,LANDSAT 5
0.04697962309328717,1986-01-01,LANDSAT 5
0.038287294564066855,1986-02-01,LANDSAT 5
0.17681799737954634,1986-04-01,LANDSAT 5
0.24901304168736793,1986-05-01,LANDSAT 5
0.09868162740246585,1986-07-01,LANDSAT 5
0.2656871851556557,1986-08-01,LANDSAT 5
0.1620444146413894,1986-09-01,LANDSAT 5
0.22621474654575938,1986-10-01,LANDSAT 5
0.13982178423667702,1986-11-01,LANDSAT 5
0.07465543415844286,1986-12-01,LANDSAT 5
0.11019792458357346,1987-01-01,LANDSAT 5
0.013665408742806135,1987-02-01,LANDSAT 5
0.09156841971577878,1987-03-01,LANDSAT 5
0.2857570201781548,1987-05-01,LANDSAT 5
0.3464799238447028,1987-06-01,LANDSAT 5
0.308465897026791,1987-07-01,LANDSAT 5
0.23424001284515603,1987-08-01,LANDSAT 5
0.3083807180699432,1987-09-01,LANDSAT 5
0.12316557562946082,1987-11-01,LANDSAT 5
0.06171357179638263,1987-12-01,LANDSAT 5
0.08129953257863788,1988-02-01,LANDSAT 5
0.107635669422396,1988-03-01,LANDSAT 5
0.1442625171221064,1988-04-01,LANDSAT 5
0.3271788626619838,1988-05-01,LANDSAT 5
0.3256951511209568,1988-06-01,LANDSAT 5
0.25623726338863057,1988-07-01,LANDSAT 5
0.3132902323985673,1988-08-01,LANDSAT 5
0.21574511540474928,1988-09-01,LANDSAT 5
0.20892978414631663,1988-10-01,LANDSAT 5
0.04671068433369914,1988-12-01,LANDSAT 5
0.09556163110740074,1989-01-01,LANDSAT 5
0.019543097967936053,1989-02-01,LANDSAT 5
0.08025812134383314,1989-03-01,LANDSAT 5
0.20457689168158485,1989-04-01,LANDSAT 5
0.11661646437532652,1989-05-01,LANDSAT 5
0.3283418296734972,1989-06-01,LANDSAT 5
0.06360110196351895,1989-07-01,LANDSAT 5
0.1719604206776005,1989-08-01,LANDSAT 5
0.2965585015934904,1989-09-01,LANDSAT 5
0.12258771981543391,1989-10-01,LANDSAT 5
0.15358321248082202,1989-11-01,LANDSAT 5
0.019338815893091936,1989-12-01,LANDSAT 5
0.006336705145705132,1990-01-01,LANDSAT 5
0.12134166313083837,1990-05-01,LANDSAT 5
0.2747333592902923,1990-06-01,LANDSAT 5
0.30684407165403105,1990-07-01,LANDSAT 5
0.07473105407989988,1990-09-01,LANDSAT 5
0.19075820468414886,1990-10-01,LANDSAT 5
0.14025547038416983,1990-11-01,LANDSAT 5
0.049369238047111616,1991-01-01,LANDSAT 5
0.05507736259155266,1991-02-01,LANDSAT 5
0.14519812424759734,1991-03-01,LANDSAT 5
0.33128501274534994,1991-05-01,LANDSAT 5
0.24398469375090337,1991-06-01,LANDSAT 5
0.2532380159826367,1991-07-01,LANDSAT 5
0.18708012747692235,1991-08-01,LANDSAT 5
0.03605181583604603,1991-10-01,LANDSAT 5
0.09800414648031985,1991-11-01,LANDSAT 5
0.115998007697761,1992-01-01,LANDSAT 5
0.012511859169570259,1992-02-01,LANDSAT 5
0.09360088811020945,1992-03-01,LANDSAT 5
0.265380455057581,1992-04-01,LANDSAT 5
0.32957368930036735,1992-05-01,LANDSAT 5
0.2037654263682333,1992-06-01,LANDSAT 5
0.0889673288414559,1992-07-01,LANDSAT 5
0.2662853706092252,1992-08-01,LANDSAT 5
0.08850653773659466,1992-09-01,LANDSAT 5
0.027756574345575383,1992-10-01,LANDSAT 5
0.14587914531363125,1992-11-01,LANDSAT 5
0.04607445203088092,1992-12-01,LANDSAT 5
0.033311965282150385,1993-01-01,LANDSAT 5
0.10778508708839488,1993-02-01,LANDSAT 5
0.011982734877414015,1993-03-01,LANDSAT 5
0.15145645157139426,1993-04-01,LANDSAT 5
0.3137492331715945,1993-05-01,LANDSAT 5
0.30751357475174973,1993-06-01,LANDSAT 5
0.30846995315916614,1993-07-01,LANDSAT 5
0.259345496581494,1993-08-01,LANDSAT 5
0.21592204506278345,1993-10-01,LANDSAT 5
0.12288638997401403,1993-12-01,LANDSAT 5
0.023683161859596336,1994-01-01,LANDSAT 5
0.026261318471205285,1994-02-01,LANDSAT 5
0.062135787301434764,1994-04-01,LANDSAT 5
0.12317084392346063,1994-06-01,LANDSAT 5
0.22999176223043766,1994-08-01,LANDSAT 5
0.19477290916114925,1994-09-01,LANDSAT 5
0.12746561352818833,1994-10-01,LANDSAT 5
0.17314920079750581,1994-11-01,LANDSAT 5
0.12081984279788403,1994-12-01,LANDSAT 5
0.05646690657740579,1995-01-01,LANDSAT 5
0.0610685666030756,1995-02-01,LANDSAT 5
0.1074651459288114,1995-03-01,LANDSAT 5
0.2300935657797407,1995-04-01,LANDSAT 5
0.3466459051248325,1995-05-01,LANDSAT 5
0.3352926308850521,1995-06-01,LANDSAT 5
0.2920446531855047,1995-08-01,LANDSAT 5
0.28055779959119626,1995-09-01,LANDSAT 5
0.2906599920679634,1995-10-01,LANDSAT 5
0.1340734325828137,1995-11-01,LANDSAT 5
0.01632713150336635,1995-12-01,LANDSAT 5
0.03220792932421894,1996-01-01,LANDSAT 5
0.09534389985468343,1996-02-01,LANDSAT 5
0.10852153348366622,1996-03-01,LANDSAT 5
0.22220599744630198,1996-04-01,LANDSAT 5
0.034613002636100704,1996-05-01,LANDSAT 5
0.33395409462944897,1996-06-01,LANDSAT 5
0.36029722161106664,1996-07-01,LANDSAT 5
0.2954291770535493,1996-08-01,LANDSAT 5
-0.006656371283301937,1996-09-01,LANDSAT 5
0.25164973379153543,1996-10-01,LANDSAT 5
0.11133961741771126,1996-11-01,LANDSAT 5
0.10844707973467198,1996-12-01,LANDSAT 5
0.03853667234605006,1997-01-01,LANDSAT 5
0.07747245418250916,1997-02-01,LANDSAT 5
0.16415016412115654,1997-05-01,LANDSAT 5
0.31241004328372124,1997-06-01,LANDSAT 5
0.1430732328349241,1997-07-01,LANDSAT 5
0.3428526684825238,1997-08-01,LANDSAT 5
0.012854505717086476,1997-09-01,LANDSAT 5
0.2854101516139875,1997-10-01,LANDSAT 5
0.12318354778824404,1997-12-01,LANDSAT 5
0.01806610659440961,1998-01-01,LANDSAT 5
0.07351277409892194,1998-02-01,LANDSAT 5
0.12627519513190394,1998-03-01,LANDSAT 5
0.28303348226401304,1998-04-01,LANDSAT 5
0.2756383306684561,1998-05-01,LANDSAT 5
0.16399615157026914,1998-06-01,LANDSAT 5
0.19723902946589517,1998-07-01,LANDSAT 5
0.019079921912615268,1998-08-01,LANDSAT 5
0.254438628642205,1998-09-01,LANDSAT 5
0.2504582781850566,1998-10-01,LANDSAT 5
