NDVI,month-year,landsat
0.16654078346928688,1984-04-01,LANDSAT 5
0.35873492415036007,1984-05-01,LANDSAT 5
0.4238617969957864,1984-06-01,LANDSAT 5
0.40908205178525586,1984-07-01,LANDSAT 5
0.2967828029326435,1984-08-01,LANDSAT 5
0.23585259904234815,1984-09-01,LANDSAT 5
0.22919877322874932,1984-10-01,LANDSAT 5
0.1322062602081513,1984-11-01,LANDSAT 5
0.05114580480802985,1984-12-01,LANDSAT 5
0.040423110086076776,1985-01-01,LANDSAT 5
0.13751786221856957,1985-02-01,LANDSAT 5
0.11645438104069195,1985-03-01,LANDSAT 5
0.21155674111953252,1985-04-01,LANDSAT 5
0.2961940584776305,1985-05-01,LANDSAT 5
0.22570400470689922,1985-07-01,LANDSAT 5
0.2849305705820498,1985-08-01,LANDSAT 5
0.32817084568671595,1985-09-01,LANDSAT 5
0.24204465685070015,1985-10-01,LANDSAT 5
0.022564409224475196,1986-01-01,LANDSAT 5
0.043312043904007766,1986-02-01,LANDSAT 5
0.11810944439805576,1986-03-01,LANDSAT 5
0.19907670514383272,1986-04-01,LANDSAT 5
0.3447140650123688,1986-05-01,LANDSAT 5
0.37225730468022256,1986-06-01,LANDSAT 5
0.3184988337178414,1986-07-01,LANDSAT 5
0.2751987977566815,1986-08-01,LANDSAT 5
0.29522852168785024,1986-09-01,LANDSAT 5
0.2249226778128196,1986-10-01,LANDSAT 5
0.10343847475214345,1986-11-01,LANDSAT 5
0.14650100828331003,1986-12-01,LANDSAT 5
0.054821766631744324,1987-01-01,LANDSAT 5
0.14980277243113865,1987-02-01,LANDSAT 5
0.05399373401581405,1987-03-01,LANDSAT 5
0.23826219962543269,1987-04-01,LANDSAT 5
0.3683293643328277,1987-05-01,LANDSAT 5
0.26251138073738894,1987-06-01,LANDSAT 5
0.24406097553957154,1987-07-01,LANDSAT 5
0.244827777936506,1987-08-01,LANDSAT 5
0.23744377164619646,1987-09-01,LANDSAT 5
0.18750898227872603,1987-10-01,LANDSAT 5
0.08553273972852087,1988-03-01,LANDSAT 5
