NDVI,month-year,landsat
0.20543143796984828,1984-04-01,LANDSAT 5
0.1364785483294533,1984-05-01,LANDSAT 5
0.40046342521535716,1984-06-01,LANDSAT 5
0.41679685242105674,1984-07-01,LANDSAT 5
0.3823507379636361,1984-08-01,LANDSAT 5
0.06934656231794098,1984-11-01,LANDSAT 5
0.22724562446066016,1984-12-01,LANDSAT 5
0.12001659603776146,1985-01-01,LANDSAT 5
0.08281871603938287,1985-02-01,LANDSAT 5
0.19560610254766134,1985-03-01,LANDSAT 5
0.11008530177865405,1985-04-01,LANDSAT 5
0.15809101030713527,1985-05-01,LANDSAT 5
0.404844766686879,1985-06-01,LANDSAT 5
0.25168270841661844,1985-07-01,LANDSAT 5
0.22806863198209024,1985-09-01,LANDSAT 5
0.2597425068605018,1985-10-01,LANDSAT 5
0.2865377315692911,1985-11-01,LANDSAT 5
0.07535739681260004,1986-03-01,LANDSAT 5
0.3776340723198612,1986-04-01,LANDSAT 5
0.24291795467657348,1986-05-01,LANDSAT 5
0.3903904012455988,1986-06-01,LANDSAT 5
0.09694473258091023,1986-07-01,LANDSAT 5
0.23252770078736146,1986-08-01,LANDSAT 5
0.3225343244614329,1986-09-01,LANDSAT 5
0.32572991229412157,1986-10-01,LANDSAT 5
0.14251824612091035,1986-11-01,LANDSAT 5
0.2094302339672159,1986-12-01,LANDSAT 5
0.19205808349056394,1987-01-01,LANDSAT 5
0.1746977278486043,1987-02-01,LANDSAT 5
0.3661432890663106,1987-03-01,LANDSAT 5
0.29392201860601397,1987-04-01,LANDSAT 5
0.08285098608888128,1987-05-01,LANDSAT 5
0.38236933723551836,1987-06-01,LANDSAT 5
0.3688345409650338,1987-07-01,LANDSAT 5
0.336187044785614,1987-08-01,LANDSAT 5
0.162140272292069,1987-09-01,LANDSAT 5
0.27570936297825127,1987-10-01,LANDSAT 5
0.4889110488511593,1988-03-01,LANDSAT 5
0.31828026871817683,1988-04-01,LANDSAT 5
0.09778994942805054,1988-06-01,LANDSAT 5
0.15777910907112866,1988-07-01,LANDSAT 5
0.3455401306459429,1988-08-01,LANDSAT 5
0.16394645120515638,1988-09-01,LANDSAT 5
0.017213373166760023,1988-10-01,LANDSAT 5
0.3292921358143007,1989-04-01,LANDSAT 5
0.3941549847637296,1989-05-01,LANDSAT 5
0.35014816860449977,1989-08-01,LANDSAT 5
0.29919858565059976,1989-09-01,LANDSAT 5
0.012039401732762484,1990-03-01,LANDSAT 5
0.3343341489672437,1990-04-01,LANDSAT 5
0.3757410184728655,1990-05-01,LANDSAT 5
0.03342609732803893,1990-06-01,LANDSAT 5
0.35021098703730225,1990-07-01,LANDSAT 5
0.22435224869239526,1990-08-01,LANDSAT 5
0.20701471947054795,1990-09-01,LANDSAT 5
0.30856605216986865,1990-10-01,LANDSAT 5
0.25588353675609615,1991-03-01,LANDSAT 5
0.034094973491072565,1991-04-01,LANDSAT 5
0.30226181138839653,1991-05-01,LANDSAT 5
0.3468966116042776,1991-06-01,LANDSAT 5
0.381844727550513,1991-07-01,LANDSAT 5
0.29770930103828547,1991-08-01,LANDSAT 5
0.32814364076132174,1991-09-01,LANDSAT 5
0.17957358503143758,1991-10-01,LANDSAT 5
0.2595020077100438,1992-03-01,LANDSAT 5
0.40222620900771794,1992-04-01,LANDSAT 5
0.09376110527483321,1992-05-01,LANDSAT 5
0.3884902237869574,1992-06-01,LANDSAT 5
0.08325816958423225,1992-07-01,LANDSAT 5
0.3283879771881034,1992-08-01,LANDSAT 5
0.173449173404256,1992-09-01,LANDSAT 5
0.20818973950297345,1992-10-01,LANDSAT 5
0.17502026417237132,1992-11-01,LANDSAT 5
0.014827656178275736,1992-12-01,LANDSAT 5
0.08305146720868502,1993-01-01,LANDSAT 5
0.12308693230879335,1993-02-01,LANDSAT 5
0.06964381253457537,1993-03-01,LANDSAT 5
0.10078795620095023,1993-04-01,LANDSAT 5
0.3732587288778989,1993-05-01,LANDSAT 5
0.094346490460592,1993-06-01,LANDSAT 5
0.6054144919154764,1993-07-01,LANDSAT 5
0.20273306083585166,1993-08-01,LANDSAT 5
0.23755125423946485,1993-09-01,LANDSAT 5
0.03395045462669857,1993-10-01,LANDSAT 5
0.08194031100357906,1993-11-01,LANDSAT 5
0.13622502142475915,1993-12-01,LANDSAT 5
0.19140222405082485,1994-02-01,LANDSAT 5
0.19174144708191868,1994-03-01,LANDSAT 5
0.023561311266547466,1994-04-01,LANDSAT 5
0.2808201511864226,1994-05-01,LANDSAT 5
0.10972992707774755,1994-06-01,LANDSAT 5
0.1893453308162893,1994-07-01,LANDSAT 5
0.2747037629065734,1994-08-01,LANDSAT 5
0.266277749947129,1994-09-01,LANDSAT 5
0.2714051977181197,1994-10-01,LANDSAT 5
0.21666939990669737,1994-11-01,LANDSAT 5
0.04283885217043601,1994-12-01,LANDSAT 5
0.11823315940561219,1995-01-01,LANDSAT 5
0.018120705957781962,1995-02-01,LANDSAT 5
0.29722597980948384,1995-03-01,LANDSAT 5
0.13573363980288833,1995-04-01,LANDSAT 5
0.3921409143882078,1995-05-01,LANDSAT 5
0.3295020870769978,1995-07-01,LANDSAT 5
0.30653022787673806,1995-08-01,LANDSAT 5
0.2523149113359938,1995-09-01,LANDSAT 5
0.11005172996979415,1995-10-01,LANDSAT 5
0.10766461852532565,1995-11-01,LANDSAT 5
0.11709055331665327,1996-01-01,LANDSAT 5
0.2200941717494586,1996-02-01,LANDSAT 5
0.23909031483520965,1996-03-01,LANDSAT 5
0.06584280832358964,1996-04-01,LANDSAT 5
0.26805129401956024,1996-05-01,LANDSAT 5
0.2633215630894928,1996-06-01,LANDSAT 5
0.1889462865902762,1996-07-01,LANDSAT 5
0.2287135259928254,1996-08-01,LANDSAT 5
0.15766701576644024,1996-09-01,LANDSAT 5
0.2933176785417788,1996-10-01,LANDSAT 5
0.10986009543464245,1996-11-01,LANDSAT 5
0.09578689868356961,1996-12-01,LANDSAT 5
0.2186811807347538,1997-01-01,LANDSAT 5
0.04546131790000497,1997-02-01,LANDSAT 5
0.2885070911249032,1997-03-01,LANDSAT 5
0.21960339754622704,1997-04-01,LANDSAT 5
0.18763741954613222,1997-05-01,LANDSAT 5
0.22976439783129993,1997-06-01,LANDSAT 5
0.33051860685143014,1997-07-01,LANDSAT 5
0.24010130942123642,1997-08-01,LANDSAT 5
0.10602957276210645,1997-09-01,LANDSAT 5
0.24011366751703425,1997-10-01,LANDSAT 5
0.2001970258241896,1997-11-01,LANDSAT 5
0.06569052778477343,1997-12-01,LANDSAT 5
0.153254276160619,1998-01-01,LANDSAT 5
0.11551440219793058,1998-02-01,LANDSAT 5
0.16422335222545248,1998-03-01,LANDSAT 5
0.3501973139841837,1998-04-01,LANDSAT 5
0.08930136420531633,1998-05-01,LANDSAT 5
0.05524114851800197,1998-06-01,LANDSAT 5
0.05403499772024516,1998-07-01,LANDSAT 5
0.34011642445825496,1998-08-01,LANDSAT 5
0.3235977367089854,1998-09-01,LANDSAT 5
0.13675502435553188,1998-10-01,LANDSAT 5
0.07801738099943681,1998-12-01,LANDSAT 5
0.2965319727386373,1999-07-01,LANDSAT 7
0.2752142158035706,1999-08-01,LANDSAT 7
0.24371646058128388,1999-09-01,LANDSAT 7
0.05402903765649669,1999-10-01,LANDSAT 7
0.13141944219262874,1999-11-01,LANDSAT 7
0.22493312410731153,1999-12-01,LANDSAT 7
0.2561648527913072,2000-01-01,LANDSAT 7
0.04188633205805671,2000-02-01,LANDSAT 7
0.1091429821901981,2000-03-01,LANDSAT 7
0.1830889547063536,2000-04-01,LANDSAT 7
0.38369302546468753,2000-05-01,LANDSAT 7
0.3351365789444759,2000-06-01,LANDSAT 7
0.36170881098459745,2000-07-01,LANDSAT 7
0.3152866572757985,2000-08-01,LANDSAT 7
0.26316563136619336,2000-09-01,LANDSAT 7
0.10693593265893446,2000-11-01,LANDSAT 7
0.054747144375382216,2000-12-01,LANDSAT 7
0.12176814372759606,2001-01-01,LANDSAT 7
0.04459503516293804,2001-02-01,LANDSAT 7
0.2091573871728938,2001-03-01,LANDSAT 7
0.1442152402369238,2001-04-01,LANDSAT 7
0.39177996794689773,2001-05-01,LANDSAT 7
0.3976348260585144,2001-06-01,LANDSAT 7
0.3350182502041818,2001-07-01,LANDSAT 7
0.35128798596547245,2001-08-01,LANDSAT 7
0.33806762820506675,2001-09-01,LANDSAT 7
0.07209330164344877,2001-10-01,LANDSAT 7
0.07694325718686035,2001-11-01,LANDSAT 7
0.18521468050831172,2001-12-01,LANDSAT 7
0.10700259586843434,2002-02-01,LANDSAT 7
0.1585799456272914,2002-03-01,LANDSAT 7
0.34312390922833247,2002-04-01,LANDSAT 7
0.2810822332897669,2002-05-01,LANDSAT 7
0.3581896673650798,2002-06-01,LANDSAT 7
0.3016464987732087,2002-07-01,LANDSAT 7
0.3073043699635071,2002-08-01,LANDSAT 7
0.14796753347581335,2002-09-01,LANDSAT 7
0.3320975711006391,2002-10-01,LANDSAT 7
0.16051953639673053,2002-11-01,LANDSAT 7
0.0980861222211929,2002-12-01,LANDSAT 7
0.20085209509529706,2003-01-01,LANDSAT 7
0.17138705895663872,2003-02-01,LANDSAT 7
0.10565981852078173,2003-03-01,LANDSAT 7
0.3814179020906028,2003-04-01,LANDSAT 7
0.4025858569267385,2003-05-01,LANDSAT 7
0.2703012776044295,2003-07-01,LANDSAT 7
0.3058011896833825,2003-08-01,LANDSAT 7
0.2194701791741213,2003-09-01,LANDSAT 7
-0.0028041751158817746,2003-10-01,LANDSAT 7
0.16745837451026502,2003-11-01,LANDSAT 7
0.03284856670012504,2004-01-01,LANDSAT 7
0.03918456525264341,2004-02-01,LANDSAT 7
0.20044212395244224,2004-03-01,LANDSAT 7
0.38231397106542225,2004-04-01,LANDSAT 7
0.25238318090471895,2004-05-01,LANDSAT 7
0.4083546540662856,2004-06-01,LANDSAT 7
0.17906254418429457,2004-07-01,LANDSAT 7
0.3311403181885976,2004-08-01,LANDSAT 7
0.2709188511345952,2004-09-01,LANDSAT 7
0.04996097584735989,2004-10-01,LANDSAT 7
0.21023800563938652,2004-12-01,LANDSAT 7
0.2307129823076841,2005-01-01,LANDSAT 7
0.23308639339114895,2005-02-01,LANDSAT 7
0.2424624486419764,2005-03-01,LANDSAT 7
0.19666850596060578,2005-05-01,LANDSAT 7
0.4204453030625017,2005-06-01,LANDSAT 7
0.3883034297242731,2005-07-01,LANDSAT 7
0.24363757152829052,2005-08-01,LANDSAT 7
0.3413251956512437,2005-09-01,LANDSAT 7
0.08086482313356383,2005-10-01,LANDSAT 7
0.16890159102518196,2005-11-01,LANDSAT 7
0.02269419549558658,2005-12-01,LANDSAT 7
0.07989727400258988,2006-01-01,LANDSAT 7
0.10195944233903215,2006-02-01,LANDSAT 7
0.10872982297127094,2006-03-01,LANDSAT 7
0.3414674884190834,2006-04-01,LANDSAT 7
0.29690860518148127,2006-05-01,LANDSAT 7
0.3400880644193707,2006-06-01,LANDSAT 7
0.3751995966580543,2006-07-01,LANDSAT 7
0.25515482369783005,2006-08-01,LANDSAT 7
0.3465866544903208,2006-09-01,LANDSAT 7
0.21050057749510848,2006-10-01,LANDSAT 7
0.050554028030480994,2006-11-01,LANDSAT 7
0.14283362566505217,2006-12-01,LANDSAT 7
0.22868728281354156,2007-01-01,LANDSAT 7
0.1267476905261447,2007-02-01,LANDSAT 7
0.2748330484930133,2007-03-01,LANDSAT 7
0.34561467048613,2007-04-01,LANDSAT 7
0.40993987790007724,2007-05-01,LANDSAT 7
0.3068519092812813,2007-06-01,LANDSAT 7
0.29938747266160765,2007-07-01,LANDSAT 7
0.2873724499405851,2007-08-01,LANDSAT 7
0.142377111038784,2007-09-01,LANDSAT 7
0.16147427294839706,2007-10-01,LANDSAT 7
-0.0014972824976457755,2007-11-01,LANDSAT 7
0.08426439545941565,2008-02-01,LANDSAT 7
0.279529881190699,2008-04-01,LANDSAT 7
0.3268238626842891,2008-05-01,LANDSAT 7
0.37280235310705234,2008-06-01,LANDSAT 7
0.3900102186644518,2008-07-01,LANDSAT 7
0.31400872975123584,2008-08-01,LANDSAT 7
0.19341560687920062,2008-09-01,LANDSAT 7
0.33194591470462764,2008-10-01,LANDSAT 7
0.020929931678273467,2008-11-01,LANDSAT 7
0.12552625077711738,2008-12-01,LANDSAT 7
0.06922027737904292,2009-01-01,LANDSAT 7
0.056796089473426764,2009-02-01,LANDSAT 7
0.1487597206836738,2009-03-01,LANDSAT 7
0.12079638977340319,2009-04-01,LANDSAT 7
0.3474825648294587,2009-05-01,LANDSAT 7
0.35579539742104926,2009-06-01,LANDSAT 7
0.36178445790876623,2009-07-01,LANDSAT 7
0.2852698849592057,2009-08-01,LANDSAT 7
0.2193656603707904,2009-09-01,LANDSAT 7
0.062412513063446896,2009-10-01,LANDSAT 7
0.13378659138555357,2009-12-01,LANDSAT 7
0.12066143217576407,2010-02-01,LANDSAT 7
0.17500396254815787,2010-03-01,LANDSAT 7
0.29684782730628395,2010-04-01,LANDSAT 7
0.17436074422623962,2010-05-01,LANDSAT 7
0.2604201315247692,2010-06-01,LANDSAT 7
0.28489747440266766,2010-07-01,LANDSAT 7
0.15591231846227752,2010-08-01,LANDSAT 7
0.23790468003249005,2010-09-01,LANDSAT 7
0.4072307034715711,2010-10-01,LANDSAT 7
0.056874825775442235,2010-11-01,LANDSAT 7
0.018298124324787182,2010-12-01,LANDSAT 7
0.13865354811776956,2011-01-01,LANDSAT 7
0.034006674972201494,2011-02-01,LANDSAT 7
0.14586748119426496,2011-03-01,LANDSAT 7
0.22180647032183193,2011-04-01,LANDSAT 7
0.30724292643249473,2011-05-01,LANDSAT 7
0.321590101138559,2011-06-01,LANDSAT 7
0.30346614385289694,2011-07-01,LANDSAT 7
0.18297406441282626,2011-08-01,LANDSAT 7
0.3265935348371608,2011-09-01,LANDSAT 7
0.06383934100604628,2011-10-01,LANDSAT 7
0.03434737749355234,2011-11-01,LANDSAT 7
0.23339812821968772,2011-12-01,LANDSAT 7
0.04938444518257685,2012-01-01,LANDSAT 7
0.03976783431526486,2012-02-01,LANDSAT 7
0.11937423329930348,2012-03-01,LANDSAT 7
0.16486470401367576,2012-04-01,LANDSAT 7
0.265885232219857,2012-05-01,LANDSAT 7
0.3169894569466466,2012-06-01,LANDSAT 7
0.3973731402773979,2012-07-01,LANDSAT 7
0.25968611128383257,2012-08-01,LANDSAT 7
0.24406488456527142,2012-09-01,LANDSAT 7
0.07126063563489246,2012-10-01,LANDSAT 7
0.05129730335010131,2013-01-01,LANDSAT 7
0.09584416251759828,2013-02-01,LANDSAT 7
0.1252770637449381,2013-03-01,LANDSAT 7
0.3907274003935037,2013-04-01,LANDSAT 7
0.13637162926434415,2013-05-01,LANDSAT 7
0.4088106008135386,2013-06-01,LANDSAT 7
0.39903594495013806,2013-07-01,LANDSAT 7
0.2104034484691813,2013-08-01,LANDSAT 7
0.15233228436288376,2013-09-01,LANDSAT 7
0.20664307330258844,2013-10-01,LANDSAT 7
0.04483268498750065,2013-11-01,LANDSAT 7
0.16765247271111297,2013-12-01,LANDSAT 7
0.14834502095164462,2014-01-01,LANDSAT 7
0.1866619237559615,2014-02-01,LANDSAT 7
0.21393683590757825,2014-03-01,LANDSAT 7
0.21942933121892974,2014-04-01,LANDSAT 7
0.26196017901470436,2014-05-01,LANDSAT 7
0.33927784415349493,2014-06-01,LANDSAT 7
0.395216142505792,2014-07-01,LANDSAT 7
0.22224477738387852,2014-08-01,LANDSAT 7
0.25455377892795006,2014-09-01,LANDSAT 7
0.11492837440851209,2014-10-01,LANDSAT 7
0.06661000235862423,2014-11-01,LANDSAT 7
0.06032743011434272,2014-12-01,LANDSAT 7
0.07391239099515616,2015-01-01,LANDSAT 7
0.2089055725016965,2015-02-01,LANDSAT 7
0.2717636851571529,2015-03-01,LANDSAT 7
0.23284379367174599,2015-04-01,LANDSAT 7
0.3767329604880268,2015-05-01,LANDSAT 7
0.3970123511885432,2015-06-01,LANDSAT 7
0.25298931518424167,2015-07-01,LANDSAT 7
0.2900284574999237,2015-08-01,LANDSAT 7
0.3524939437565643,2015-09-01,LANDSAT 7
0.10902749305122376,2015-10-01,LANDSAT 7
0.22371004928766824,2015-11-01,LANDSAT 7
0.2163478440349054,2015-12-01,LANDSAT 7
0.22009477397247684,2016-01-01,LANDSAT 7
0.07287985686284987,2016-02-01,LANDSAT 7
0.2225393049943233,2016-03-01,LANDSAT 7
0.3187503798256903,2016-04-01,LANDSAT 7
0.37970663752810374,2016-05-01,LANDSAT 7
0.26506884478567916,2016-06-01,LANDSAT 7
0.14787419240756064,2016-07-01,LANDSAT 7
0.372710769585735,2016-08-01,LANDSAT 7
0.2540463101967012,2016-09-01,LANDSAT 7
0.05050485279998916,2016-10-01,LANDSAT 7
0.29002700350534555,2016-11-01,LANDSAT 7
0.08839646687464908,2016-12-01,LANDSAT 7
0.20598122417827452,2017-01-01,LANDSAT 7
0.08426583252269775,2017-02-01,LANDSAT 7
0.16821575193954832,2017-03-01,LANDSAT 7
0.14353281060538803,2017-04-01,LANDSAT 7
0.36218717866374606,2017-05-01,LANDSAT 7
0.2767536596446965,2017-06-01,LANDSAT 7
0.38713007117374004,2017-07-01,LANDSAT 7
0.23305499359078538,2017-08-01,LANDSAT 7
0.26741912947704344,2017-09-01,LANDSAT 7
0.21372567529133757,2017-10-01,LANDSAT 7
0.246438708977402,2017-12-01,LANDSAT 7
0.20965952315078137,2018-01-01,LANDSAT 7
0.16731106835470133,2018-02-01,LANDSAT 7
0.26795800724406477,2018-03-01,LANDSAT 7
0.20936572683461754,2018-04-01,LANDSAT 7
0.370384385987328,2018-05-01,LANDSAT 7
0.2469512489443867,2018-06-01,LANDSAT 7
0.3708827054955938,2018-07-01,LANDSAT 7
0.3448748467995024,2018-08-01,LANDSAT 7
0.3532998470998319,2018-09-01,LANDSAT 7
0.34823842795901605,2018-10-01,LANDSAT 7
0.17708870090085865,2018-12-01,LANDSAT 7
0.17708870090085865,2019-01-01,LANDSAT 7
