NDVI,month-year,landsat
0.2524517405533702,1984-03-01,LANDSAT 5
0.25970020969622276,1984-04-01,LANDSAT 5
0.4057718987434019,1984-06-01,LANDSAT 5
0.4374218428421389,1984-08-01,LANDSAT 5
0.3109824394766846,1984-10-01,LANDSAT 5
0.26707240389234377,1984-11-01,LANDSAT 5
0.0385031425368057,1984-12-01,LANDSAT 5
0.013284978538371569,1985-01-01,LANDSAT 5
0.2041356442505897,1985-02-01,LANDSAT 5
0.12657642412426093,1985-03-01,LANDSAT 5
0.23654507025295002,1985-04-01,LANDSAT 5
0.4101634469696158,1985-08-01,LANDSAT 5
0.43156510299130274,1985-09-01,LANDSAT 5
0.09751646642203812,1985-10-01,LANDSAT 5
0.22712158781225084,1985-12-01,LANDSAT 5
0.16087734694494338,1986-01-01,LANDSAT 5
0.03683698550022149,1986-02-01,LANDSAT 5
0.03697929703844499,1986-03-01,LANDSAT 5
0.0947288439704801,1986-05-01,LANDSAT 5
0.4066342719292401,1986-06-01,LANDSAT 5
0.3553296565652753,1986-07-01,LANDSAT 5
0.40317389980179624,1986-09-01,LANDSAT 5
0.43095501002998954,1986-10-01,LANDSAT 5
0.17407218357380677,1986-12-01,LANDSAT 5
0.1127683598181078,1987-01-01,LANDSAT 5
0.13542906834832644,1987-02-01,LANDSAT 5
0.21841763168243447,1987-03-01,LANDSAT 5
0.21811114916757332,1987-04-01,LANDSAT 5
0.34920628322396424,1987-05-01,LANDSAT 5
0.4367724966817837,1987-06-01,LANDSAT 5
0.2473485563717294,1987-07-01,LANDSAT 5
0.38951355806874943,1987-08-01,LANDSAT 5
0.2696627221968272,1987-09-01,LANDSAT 5
0.3773432099917094,1987-10-01,LANDSAT 5
0.1895892066543606,1987-11-01,LANDSAT 5
0.009335986680990529,1987-12-01,LANDSAT 5
0.15099008508153364,1988-01-01,LANDSAT 5
0.09988955086485946,1988-03-01,LANDSAT 5
0.362308520994665,1988-04-01,LANDSAT 5
0.19731542745136052,1988-06-01,LANDSAT 5
0.3582674606538612,1988-07-01,LANDSAT 5
0.42867540284684097,1988-08-01,LANDSAT 5
0.44266398780364125,1988-09-01,LANDSAT 5
0.38541567412151934,1988-10-01,LANDSAT 5
0.11378361745504281,1988-11-01,LANDSAT 5
0.09250405635213875,1989-01-01,LANDSAT 5
0.22171602886984698,1989-02-01,LANDSAT 5
0.21378979614188623,1989-03-01,LANDSAT 5
0.3756905390423513,1989-05-01,LANDSAT 5
0.3052536345504892,1989-06-01,LANDSAT 5
0.34219279218650595,1989-07-01,LANDSAT 5
0.46118811649831887,1989-08-01,LANDSAT 5
0.407232070885052,1989-09-01,LANDSAT 5
0.048527162199600904,1989-12-01,LANDSAT 5
0.15757325186322854,1990-01-01,LANDSAT 5
0.03574314918845787,1990-03-01,LANDSAT 5
0.4504194572706061,1990-05-01,LANDSAT 5
0.45593265826163715,1990-06-01,LANDSAT 5
0.3630629218672422,1990-07-01,LANDSAT 5
0.4184180756452986,1990-08-01,LANDSAT 5
0.2877192544104062,1990-09-01,LANDSAT 5
0.39682549515519616,1990-10-01,LANDSAT 5
0.1828511932937191,1990-11-01,LANDSAT 5
0.07377764576969127,1990-12-01,LANDSAT 5
0.07094742744244405,1991-01-01,LANDSAT 5
0.23559144298974943,1991-02-01,LANDSAT 5
0.1566055637264624,1991-03-01,LANDSAT 5
0.3577983707152778,1991-04-01,LANDSAT 5
0.19323957539213693,1991-05-01,LANDSAT 5
0.40797574543696796,1991-06-01,LANDSAT 5
0.23015778573155898,1991-07-01,LANDSAT 5
0.3015849563769704,1991-08-01,LANDSAT 5
0.35404221875776987,1991-09-01,LANDSAT 5
0.4268055407269264,1991-10-01,LANDSAT 5
0.10189572038012762,1991-11-01,LANDSAT 5
0.2143982836246743,1991-12-01,LANDSAT 5
0.0978806567282765,1992-01-01,LANDSAT 5
0.03477480626296506,1992-02-01,LANDSAT 5
0.25661686898387503,1992-04-01,LANDSAT 5
0.1960885240971225,1992-05-01,LANDSAT 5
0.3024759363367827,1992-06-01,LANDSAT 5
0.3966247902664384,1992-09-01,LANDSAT 5
0.3840547169758988,1992-10-01,LANDSAT 5
0.1239565562322354,1992-11-01,LANDSAT 5
0.21596085674931104,1992-12-01,LANDSAT 5
0.1537536088294581,1993-01-01,LANDSAT 5
0.22289741499422186,1993-02-01,LANDSAT 5
0.2206202405956875,1993-04-01,LANDSAT 5
0.47372419206525934,1993-05-01,LANDSAT 5
0.404336045586924,1993-06-01,LANDSAT 5
0.34670037998298797,1993-07-01,LANDSAT 5
0.3099374561702904,1993-08-01,LANDSAT 5
0.3429559470895383,1993-09-01,LANDSAT 5
0.4197204528100817,1993-10-01,LANDSAT 5
0.23820143589814263,1993-11-01,LANDSAT 5
0.14010950035757658,1993-12-01,LANDSAT 5
0.21510272455857965,1994-02-01,LANDSAT 5
0.2602323487670149,1994-03-01,LANDSAT 5
0.3864477984751574,1994-04-01,LANDSAT 5
0.4707616207244453,1994-05-01,LANDSAT 5
0.40605011299717064,1994-06-01,LANDSAT 5
0.27542685078169604,1994-07-01,LANDSAT 5
0.48605334542660567,1994-08-01,LANDSAT 5
0.3170122566255225,1994-09-01,LANDSAT 5
0.3278782407361399,1994-11-01,LANDSAT 5
0.23426005638255146,1994-12-01,LANDSAT 5
0.1648747868856634,1995-01-01,LANDSAT 5
0.2706554647021266,1995-03-01,LANDSAT 5
0.37974340556306563,1995-04-01,LANDSAT 5
0.2513943804214194,1995-05-01,LANDSAT 5
0.43400140996994274,1995-06-01,LANDSAT 5
0.43812363695393497,1995-07-01,LANDSAT 5
