NDVI,month-year,landsat
0.4439213062327796,1984-04-01,LANDSAT 5
0.2914971718204813,1984-05-01,LANDSAT 5
0.49875893400101184,1984-06-01,LANDSAT 5
0.46181549774001984,1984-07-01,LANDSAT 5
0.4075347862786259,1984-08-01,LANDSAT 5
0.0872824244475811,1984-11-01,LANDSAT 5
0.25926996098646143,1984-12-01,LANDSAT 5
0.16944464565377257,1985-01-01,LANDSAT 5
0.17168415210386262,1985-02-01,LANDSAT 5
0.15186790598651664,1985-03-01,LANDSAT 5
0.4661589166958674,1985-06-01,LANDSAT 5
0.270862522716744,1985-07-01,LANDSAT 5
0.18573208798740834,1985-08-01,LANDSAT 5
0.33370670044961753,1985-09-01,LANDSAT 5
0.30983937531346495,1985-10-01,LANDSAT 5
0.31005349113840697,1985-11-01,LANDSAT 5
0.05979273004292776,1986-03-01,LANDSAT 5
0.4540706480249586,1986-04-01,LANDSAT 5
0.33510924555894517,1986-05-01,LANDSAT 5
0.43339060574035587,1986-06-01,LANDSAT 5
0.3731900189508795,1986-07-01,LANDSAT 5
0.34864395983581237,1986-08-01,LANDSAT 5
0.3369881696389845,1986-09-01,LANDSAT 5
0.33999991166804094,1986-10-01,LANDSAT 5
0.044796261100464904,1986-11-01,LANDSAT 5
0.16349806386079602,1986-12-01,LANDSAT 5
0.23366873295010834,1987-01-01,LANDSAT 5
0.3437473527658661,1987-02-01,LANDSAT 5
0.4475291475920728,1987-03-01,LANDSAT 5
0.3996079712891255,1987-04-01,LANDSAT 5
0.3604052588712587,1987-05-01,LANDSAT 5
0.4033212617103282,1987-06-01,LANDSAT 5
0.3644142749874306,1987-07-01,LANDSAT 5
0.3666956441849774,1987-08-01,LANDSAT 5
0.18524667633605063,1987-09-01,LANDSAT 5
0.24933115959074317,1987-10-01,LANDSAT 5
0.4577162797344714,1988-03-01,LANDSAT 5
0.41518093220289987,1988-04-01,LANDSAT 5
0.7155110629708749,1988-06-01,LANDSAT 5
0.1905878808875407,1988-08-01,LANDSAT 5
0.30733103181555005,1988-09-01,LANDSAT 5
0.04446064948073471,1988-10-01,LANDSAT 5
0.42436944522687786,1989-04-01,LANDSAT 5
0.44672459581508767,1989-05-01,LANDSAT 5
0.30953465377302153,1989-08-01,LANDSAT 5
0.2974857767432887,1989-09-01,LANDSAT 5
0.06349148753876677,1990-03-01,LANDSAT 5
0.4196581954171423,1990-04-01,LANDSAT 5
0.40184697134138114,1990-05-01,LANDSAT 5
0.41563350941819943,1990-06-01,LANDSAT 5
0.4293593506512238,1990-07-01,LANDSAT 5
0.36171772451271456,1990-08-01,LANDSAT 5
0.33308826575011924,1990-09-01,LANDSAT 5
0.22544971737106909,1990-10-01,LANDSAT 5
0.3420258286790017,1991-03-01,LANDSAT 5
0.4077617603515323,1991-04-01,LANDSAT 5
0.3001805905028021,1991-05-01,LANDSAT 5
0.457904074882055,1991-06-01,LANDSAT 5
0.42034500557856935,1991-07-01,LANDSAT 5
0.3389970585796922,1991-08-01,LANDSAT 5
0.34519624136476795,1991-09-01,LANDSAT 5
0.17923698434729066,1991-10-01,LANDSAT 5
0.3542549309274726,1992-03-01,LANDSAT 5
0.4647126462070047,1992-04-01,LANDSAT 5
0.10205117675677361,1992-05-01,LANDSAT 5
0.42060060839843016,1992-06-01,LANDSAT 5
0.36703613832969517,1992-07-01,LANDSAT 5
0.3348331885355828,1992-08-01,LANDSAT 5
0.16201538526430811,1992-09-01,LANDSAT 5
0.2621035626822487,1992-10-01,LANDSAT 5
0.00326545318916608,1992-11-01,LANDSAT 5
0.05739109150653914,1992-12-01,LANDSAT 5
0.2378941761783868,1993-02-01,LANDSAT 5
0.011029075442908463,1993-03-01,LANDSAT 5
0.36458300488872486,1993-04-01,LANDSAT 5
0.4700171028044703,1993-05-01,LANDSAT 5
0.21139520547642274,1993-06-01,LANDSAT 5
0.4348828353980439,1993-07-01,LANDSAT 5
0.21347074773290145,1993-08-01,LANDSAT 5
0.31972587124582186,1993-09-01,LANDSAT 5
0.09657078743406955,1993-10-01,LANDSAT 5
0.08389926323466544,1993-11-01,LANDSAT 5
0.19553143560732195,1993-12-01,LANDSAT 5
0.019579117786140868,1994-01-01,LANDSAT 5
0.23619293401921476,1994-02-01,LANDSAT 5
0.23666227704012796,1994-03-01,LANDSAT 5
0.42020622885033765,1994-06-01,LANDSAT 5
0.2062089569268365,1994-07-01,LANDSAT 5
0.32253726190203214,1994-08-01,LANDSAT 5
0.3203006322559998,1994-09-01,LANDSAT 5
0.3203138961373518,1994-10-01,LANDSAT 5
0.26745804386962363,1994-11-01,LANDSAT 5
0.028854345422928775,1994-12-01,LANDSAT 5
0.2584525857866733,1995-02-01,LANDSAT 5
0.3728987522615286,1995-03-01,LANDSAT 5
0.45651969870039527,1995-05-01,LANDSAT 5
0.3481191471375397,1995-07-01,LANDSAT 5
0.252606907885679,1995-08-01,LANDSAT 5
0.2993384351543977,1995-09-01,LANDSAT 5
0.03867811267518114,1995-10-01,LANDSAT 5
0.009603889369792092,1995-11-01,LANDSAT 5
0.10846347534682761,1995-12-01,LANDSAT 5
0.11796462191335254,1996-01-01,LANDSAT 5
0.2847508349496072,1996-02-01,LANDSAT 5
0.29456221327584614,1996-03-01,LANDSAT 5
0.2723466913501407,1996-04-01,LANDSAT 5
0.15019704522358218,1996-05-01,LANDSAT 5
0.26583743682921857,1996-06-01,LANDSAT 5
0.18491254549105102,1996-07-01,LANDSAT 5
0.23847091992575964,1996-08-01,LANDSAT 5
0.2148603141790172,1996-09-01,LANDSAT 5
0.1818856809508449,1996-10-01,LANDSAT 5
0.10314537726023248,1996-11-01,LANDSAT 5
0.10831679005324701,1996-12-01,LANDSAT 5
0.2523477538537247,1997-01-01,LANDSAT 5
0.08158040720187201,1997-02-01,LANDSAT 5
0.3459368959020887,1997-03-01,LANDSAT 5
0.406936249208421,1997-04-01,LANDSAT 5
0.3057450206764877,1997-05-01,LANDSAT 5
0.36232117288292226,1997-07-01,LANDSAT 5
0.22454554583826497,1997-08-01,LANDSAT 5
0.19990369306785422,1997-09-01,LANDSAT 5
0.14414132363570792,1997-10-01,LANDSAT 5
0.32371242992113075,1997-11-01,LANDSAT 5
0.07682743559955059,1997-12-01,LANDSAT 5
0.20805573904267494,1998-01-01,LANDSAT 5
0.27650960116235196,1998-02-01,LANDSAT 5
0.3517683137424385,1998-03-01,LANDSAT 5
0.4137456896153252,1998-04-01,LANDSAT 5
0.11878380648089386,1998-05-01,LANDSAT 5
0.1457316635073003,1998-07-01,LANDSAT 5
0.3504995386083746,1998-08-01,LANDSAT 5
0.3251245805620037,1998-09-01,LANDSAT 5
0.10743343118741479,1998-10-01,LANDSAT 5
0.2553453765812665,1998-11-01,LANDSAT 5
0.043277892763289395,1998-12-01,LANDSAT 5
0.3137351496880818,1999-07-01,LANDSAT 7
0.27472960720110967,1999-08-01,LANDSAT 7
0.2437728636852333,1999-09-01,LANDSAT 7
0.12729362143985704,1999-10-01,LANDSAT 7
0.19757440358398873,1999-11-01,LANDSAT 7
0.2817311840485988,1999-12-01,LANDSAT 7
0.306458981484315,2000-01-01,LANDSAT 7
0.28119084539399797,2000-03-01,LANDSAT 7
0.3063250404494663,2000-04-01,LANDSAT 7
0.44606230115065737,2000-05-01,LANDSAT 7
0.3746089274858725,2000-06-01,LANDSAT 7
0.3893626663029394,2000-07-01,LANDSAT 7
0.30258767428005845,2000-08-01,LANDSAT 7
0.32143014803300735,2000-09-01,LANDSAT 7
0.04355096027001008,2000-10-01,LANDSAT 7
0.22564955491905234,2000-11-01,LANDSAT 7
0.23724569227248332,2000-12-01,LANDSAT 7
0.08517134146934417,2001-01-01,LANDSAT 7
0.05955124548850743,2001-02-01,LANDSAT 7
0.2925552931425566,2001-03-01,LANDSAT 7
0.2986043168999173,2001-04-01,LANDSAT 7
0.4592007479095972,2001-05-01,LANDSAT 7
0.4140892357014485,2001-06-01,LANDSAT 7
0.3256782087459462,2001-07-01,LANDSAT 7
0.3441087333997811,2001-08-01,LANDSAT 7
0.33610599792944584,2001-09-01,LANDSAT 7
0.10080081836124431,2001-10-01,LANDSAT 7
0.36945154259159985,2001-11-01,LANDSAT 7
0.16205189797307984,2001-12-01,LANDSAT 7
0.19791933788431287,2002-02-01,LANDSAT 7
0.2823157228065633,2002-03-01,LANDSAT 7
0.40716530228833964,2002-04-01,LANDSAT 7
0.25979683213087407,2002-05-01,LANDSAT 7
0.36844365219754094,2002-06-01,LANDSAT 7
0.3163161633294006,2002-07-01,LANDSAT 7
0.34069089918426243,2002-08-01,LANDSAT 7
0.17079517274332703,2002-09-01,LANDSAT 7
0.3384069978676825,2002-10-01,LANDSAT 7
0.3178692143591464,2002-11-01,LANDSAT 7
0.05787888519154803,2002-12-01,LANDSAT 7
0.056422976346749455,2003-01-01,LANDSAT 7
0.1954733619120485,2003-02-01,LANDSAT 7
0.19807826378506807,2003-03-01,LANDSAT 7
0.35347666889147267,2003-04-01,LANDSAT 7
0.4771914591915215,2003-05-01,LANDSAT 7
0.28424154573069743,2003-07-01,LANDSAT 7
0.30970038907433695,2003-08-01,LANDSAT 7
0.1932577546932378,2003-09-01,LANDSAT 7
0.06148065875928983,2003-10-01,LANDSAT 7
0.03882286201634821,2003-11-01,LANDSAT 7
0.03485421843784841,2003-12-01,LANDSAT 7
0.04369998998403309,2004-01-01,LANDSAT 7
0.024133384940911325,2004-02-01,LANDSAT 7
0.3613102035768756,2004-03-01,LANDSAT 7
0.358000901853112,2004-04-01,LANDSAT 7
0.26827730635057023,2004-05-01,LANDSAT 7
0.31701336586185075,2004-06-01,LANDSAT 7
0.2385164964727858,2004-07-01,LANDSAT 7
0.23997216127808507,2004-08-01,LANDSAT 7
0.303669432624573,2004-09-01,LANDSAT 7
0.09607687606452642,2004-10-01,LANDSAT 7
0.02234664505061515,2004-12-01,LANDSAT 7
0.12280150550085468,2005-01-01,LANDSAT 7
0.1168404943530945,2005-02-01,LANDSAT 7
0.32749302267034175,2005-03-01,LANDSAT 7
0.4407520656859464,2005-05-01,LANDSAT 7
0.4642078985541879,2005-06-01,LANDSAT 7
0.4073075936094126,2005-07-01,LANDSAT 7
0.26087426156321103,2005-08-01,LANDSAT 7
0.338257941362203,2005-09-01,LANDSAT 7
0.1778394994922506,2005-10-01,LANDSAT 7
0.18487025897835566,2005-11-01,LANDSAT 7
0.12837008482934406,2005-12-01,LANDSAT 7
0.12817781455576926,2006-01-01,LANDSAT 7
0.12623681827487443,2006-02-01,LANDSAT 7
0.1265170940161071,2006-03-01,LANDSAT 7
0.40385513727958783,2006-04-01,LANDSAT 7
0.3707697235686585,2006-05-01,LANDSAT 7
0.34211252463843667,2006-06-01,LANDSAT 7
0.38628634736925294,2006-07-01,LANDSAT 7
0.2768033661798357,2006-08-01,LANDSAT 7
0.33569907106716,2006-09-01,LANDSAT 7
0.19444712888847263,2006-10-01,LANDSAT 7
0.052850720911577415,2006-12-01,LANDSAT 7
0.20409458068078745,2007-01-01,LANDSAT 7
0.14970698064989776,2007-02-01,LANDSAT 7
0.34721420802033914,2007-03-01,LANDSAT 7
0.2651651195726554,2007-04-01,LANDSAT 7
0.4590970499881468,2007-05-01,LANDSAT 7
0.4193219128684782,2007-06-01,LANDSAT 7
0.34716080819578077,2007-07-01,LANDSAT 7
0.23782321056559697,2007-08-01,LANDSAT 7
0.14831944688629378,2007-09-01,LANDSAT 7
0.08630996366938129,2007-10-01,LANDSAT 7
0.13232064852447342,2007-11-01,LANDSAT 7
-0.00036609749350864206,2008-01-01,LANDSAT 7
0.042476836118312836,2008-02-01,LANDSAT 7
0.07734739043024853,2008-03-01,LANDSAT 7
0.22578858740222896,2008-04-01,LANDSAT 7
0.5767436494370255,2008-05-01,LANDSAT 7
0.4209278453504184,2008-06-01,LANDSAT 7
0.3831807231505707,2008-07-01,LANDSAT 7
0.33124534293008817,2008-08-01,LANDSAT 7
0.2385987502449142,2008-09-01,LANDSAT 7
0.22498706392069867,2008-10-01,LANDSAT 7
0.13640987914671912,2008-11-01,LANDSAT 7
0.26891599851106734,2008-12-01,LANDSAT 7
0.08594089487031778,2009-01-01,LANDSAT 7
0.06640724142872093,2009-02-01,LANDSAT 7
0.1778201341481475,2009-04-01,LANDSAT 7
0.4465968613373985,2009-05-01,LANDSAT 7
0.3386451800145176,2009-06-01,LANDSAT 7
0.3691706392458828,2009-07-01,LANDSAT 7
0.3476802859575914,2009-08-01,LANDSAT 7
0.22524898901067067,2009-09-01,LANDSAT 7
0.11807070267579789,2009-10-01,LANDSAT 7
0.14263471177608125,2009-12-01,LANDSAT 7
0.0991790503134674,2010-01-01,LANDSAT 7
0.1296282327162233,2010-02-01,LANDSAT 7
0.2455912413074673,2010-03-01,LANDSAT 7
0.3190133988462911,2010-04-01,LANDSAT 7
0.26537482144392294,2010-05-01,LANDSAT 7
0.3360257719950837,2010-06-01,LANDSAT 7
0.33907479801432955,2010-07-01,LANDSAT 7
0.2009543889852247,2010-08-01,LANDSAT 7
0.2210123188905307,2010-09-01,LANDSAT 7
0.3457684547752888,2010-10-01,LANDSAT 7
0.14900601829874965,2010-12-01,LANDSAT 7
0.11845295773215303,2011-01-01,LANDSAT 7
0.06398301497105668,2011-02-01,LANDSAT 7
0.28486070453192686,2011-03-01,LANDSAT 7
0.15202040000964082,2011-04-01,LANDSAT 7
0.33697125531253,2011-05-01,LANDSAT 7
0.3462386245167562,2011-06-01,LANDSAT 7
0.3840554275712593,2011-07-01,LANDSAT 7
0.28389416320671257,2011-08-01,LANDSAT 7
0.32097390489114974,2011-09-01,LANDSAT 7
0.18054992730376393,2011-10-01,LANDSAT 7
0.1304300382840918,2011-11-01,LANDSAT 7
0.12448241450772465,2012-01-01,LANDSAT 7
0.09922834965442086,2012-02-01,LANDSAT 7
0.2866612250149393,2012-03-01,LANDSAT 7
0.21243372812385594,2012-04-01,LANDSAT 7
0.2954732725867999,2012-05-01,LANDSAT 7
0.3989293517051367,2012-06-01,LANDSAT 7
0.33836799168534293,2012-07-01,LANDSAT 7
