NDVI,month-year,landsat
0.23057085756129458,1984-05-01,LANDSAT 5
0.29029393485624716,1984-06-01,LANDSAT 5
0.03866138748506513,1984-12-01,LANDSAT 5
0.004862731554987612,1985-01-01,LANDSAT 5
0.29512619277975083,1985-06-01,LANDSAT 5
0.3061920134777444,1985-07-01,LANDSAT 5
0.29208148052719396,1985-08-01,LANDSAT 5
0.19172020494898998,1985-09-01,LANDSAT 5
0.2451703775050014,1985-10-01,LANDSAT 5
0.12124528995060391,1985-11-01,LANDSAT 5
0.05456756966629268,1985-12-01,LANDSAT 5
0.011617818261647588,1986-01-01,LANDSAT 5
0.018437953323250586,1986-02-01,LANDSAT 5
0.22318050777596768,1986-03-01,LANDSAT 5
0.19430253918810955,1986-04-01,LANDSAT 5
0.30288513125059946,1986-05-01,LANDSAT 5
0.3288298344356692,1986-06-01,LANDSAT 5
0.3167935912801076,1986-07-01,LANDSAT 5
0.31665851739621537,1986-08-01,LANDSAT 5
0.22289223146417342,1986-09-01,LANDSAT 5
0.032440178755894326,1986-10-01,LANDSAT 5
0.14543875461019268,1986-11-01,LANDSAT 5
0.08760636543901776,1986-12-01,LANDSAT 5
0.011968219557588434,1987-01-01,LANDSAT 5
0.08986875016432021,1987-02-01,LANDSAT 5
0.1419886522926494,1987-03-01,LANDSAT 5
0.18804269739665044,1987-05-01,LANDSAT 5
0.3267679317770092,1987-06-01,LANDSAT 5
0.25947264974123396,1987-07-01,LANDSAT 5
0.18591956958842262,1987-08-01,LANDSAT 5
0.23370214012826165,1987-09-01,LANDSAT 5
0.01901323966436615,1987-10-01,LANDSAT 5
0.1601433178648306,1988-03-01,LANDSAT 5
0.2090496100574977,1988-04-01,LANDSAT 5
0.3005043720403832,1988-05-01,LANDSAT 5
0.3023280284782218,1988-06-01,LANDSAT 5
0.2857717619512058,1988-07-01,LANDSAT 5
0.24408897845495384,1988-08-01,LANDSAT 5
0.2559156895531986,1988-09-01,LANDSAT 5
0.20879750320225948,1988-10-01,LANDSAT 5
-0.003241481773128121,1988-12-01,LANDSAT 5
0.008808234430587545,1989-01-01,LANDSAT 5
0.0019986577351470735,1989-02-01,LANDSAT 5
0.1734394096570788,1989-03-01,LANDSAT 5
0.3046683491246324,1989-05-01,LANDSAT 5
0.2861604220813453,1989-06-01,LANDSAT 5
0.2857705975889181,1989-07-01,LANDSAT 5
0.28928340352269943,1989-08-01,LANDSAT 5
0.07561752792506356,1989-09-01,LANDSAT 5
0.16264234871646313,1989-10-01,LANDSAT 5
0.08848961228496502,1990-04-01,LANDSAT 5
0.28858471285723636,1990-05-01,LANDSAT 5
0.24168419222050902,1990-06-01,LANDSAT 5
0.2662056396949776,1990-08-01,LANDSAT 5
0.26734781611450575,1990-09-01,LANDSAT 5
0.11151269219121882,1991-03-01,LANDSAT 5
0.06955394700284077,1991-04-01,LANDSAT 5
0.28960858524978184,1991-05-01,LANDSAT 5
0.2520418248703445,1991-06-01,LANDSAT 5
0.30715775080497415,1991-07-01,LANDSAT 5
0.1587601897631346,1991-08-01,LANDSAT 5
0.3267498475429217,1991-09-01,LANDSAT 5
0.15373115322733732,1991-10-01,LANDSAT 5
-0.0018399812661311925,1992-01-01,LANDSAT 5
0.20166112533092317,1992-03-01,LANDSAT 5
0.2331643311361998,1992-04-01,LANDSAT 5
0.30091533506021206,1992-05-01,LANDSAT 5
0.07650661608094728,1992-06-01,LANDSAT 5
0.22459661526831295,1992-07-01,LANDSAT 5
0.19466406107123463,1992-08-01,LANDSAT 5
0.23307889466545853,1992-09-01,LANDSAT 5
0.1167680213948264,1992-10-01,LANDSAT 5
0.004531689217766558,1992-12-01,LANDSAT 5
-0.007978649088827353,1993-01-01,LANDSAT 5
-0.0013293069358798024,1993-02-01,LANDSAT 5
0.09597060340951118,1993-03-01,LANDSAT 5
