NDVI,month-year,landsat
0.09115914395497747,1984-03-01,LANDSAT 5
0.3202051486569516,1984-04-01,LANDSAT 5
0.2543815071974595,1984-05-01,LANDSAT 5
0.22092034864351964,1984-06-01,LANDSAT 5
0.20698983451828326,1984-07-01,LANDSAT 5
0.2281998275570727,1984-08-01,LANDSAT 5
0.1468481358403992,1984-10-01,LANDSAT 5
0.3999868993407444,1984-11-01,LANDSAT 5
-0.008420780781350527,1984-12-01,LANDSAT 5
0.33012695288979965,1985-01-01,LANDSAT 5
0.003565430739519562,1985-02-01,LANDSAT 5
0.4706569351300051,1985-03-01,LANDSAT 5
0.40562169279982074,1985-07-01,LANDSAT 5
0.35356443596783466,1985-08-01,LANDSAT 5
0.4005253037935486,1985-09-01,LANDSAT 5
0.22121565565069407,1985-11-01,LANDSAT 5
0.281555457216107,1985-12-01,LANDSAT 5
0.24807111941569182,1986-01-01,LANDSAT 5
0.3822030273331874,1986-02-01,LANDSAT 5
0.10222236953031513,1986-03-01,LANDSAT 5
0.4698241051089729,1986-04-01,LANDSAT 5
0.05194027690929662,1986-05-01,LANDSAT 5
0.12739034591443732,1986-06-01,LANDSAT 5
0.3772376848393688,1986-07-01,LANDSAT 5
0.19858642639931842,1986-08-01,LANDSAT 5
0.2898757129227665,1986-09-01,LANDSAT 5
0.36986382959939573,1986-10-01,LANDSAT 5
0.3386666945255075,1986-11-01,LANDSAT 5
0.31558272511191415,1986-12-01,LANDSAT 5
0.22604974646476247,1987-01-01,LANDSAT 5
0.2687491241314935,1987-02-01,LANDSAT 5
0.2009518378247803,1987-03-01,LANDSAT 5
0.3687557604093421,1987-04-01,LANDSAT 5
0.24406672209725822,1987-05-01,LANDSAT 5
0.26211007545197224,1987-06-01,LANDSAT 5
0.3257258562401025,1987-07-01,LANDSAT 5
0.3150418815023633,1987-08-01,LANDSAT 5
0.3568189510000155,1987-09-01,LANDSAT 5
0.31759480486384006,1987-10-01,LANDSAT 5
0.29660079508832954,1987-11-01,LANDSAT 5
-0.005506785706727868,1987-12-01,LANDSAT 5
0.1807097700204787,1988-01-01,LANDSAT 5
0.20279755789731047,1988-02-01,LANDSAT 5
0.25178775924926206,1988-03-01,LANDSAT 5
0.27173040546416954,1988-04-01,LANDSAT 5
0.39026749365562324,1988-05-01,LANDSAT 5
0.34441970256171156,1988-06-01,LANDSAT 5
0.281196696921184,1988-07-01,LANDSAT 5
0.3472410699253339,1988-08-01,LANDSAT 5
0.3797908329154099,1988-09-01,LANDSAT 5
0.33636151742373105,1988-10-01,LANDSAT 5
0.25779046417260043,1988-11-01,LANDSAT 5
0.020055125859832077,1988-12-01,LANDSAT 5
0.32343308635795137,1989-02-01,LANDSAT 5
0.14468390021476749,1989-03-01,LANDSAT 5
0.3438144601910165,1989-04-01,LANDSAT 5
0.38797469914320365,1989-05-01,LANDSAT 5
0.2358663948473614,1989-07-01,LANDSAT 5
0.29307651943019597,1989-08-01,LANDSAT 5
0.2443171042884422,1989-09-01,LANDSAT 5
0.2399163272766928,1989-10-01,LANDSAT 5
0.28204222884364305,1989-11-01,LANDSAT 5
0.20942273028604447,1989-12-01,LANDSAT 5
0.47222154090219615,1990-03-01,LANDSAT 5
0.3499741314450924,1990-04-01,LANDSAT 5
0.27772994675698687,1990-05-01,LANDSAT 5
0.25808309958056397,1990-06-01,LANDSAT 5
0.16425217232798472,1990-07-01,LANDSAT 5
0.3549959923638962,1990-08-01,LANDSAT 5
0.27871869205638083,1990-09-01,LANDSAT 5
0.39329805917288746,1990-10-01,LANDSAT 5
0.2832465590771393,1990-11-01,LANDSAT 5
0.2682486067261768,1990-12-01,LANDSAT 5
0.028637940787381848,1991-01-01,LANDSAT 5
0.15441456933982275,1991-02-01,LANDSAT 5
0.2816198910209349,1991-03-01,LANDSAT 5
0.45224199925577935,1991-04-01,LANDSAT 5
0.2028634743395984,1991-05-01,LANDSAT 5
0.37739224639029995,1991-06-01,LANDSAT 5
0.39784013106700483,1991-07-01,LANDSAT 5
0.32248823837435114,1991-08-01,LANDSAT 5
0.18733224451013064,1991-09-01,LANDSAT 5
0.3212382525682193,1991-11-01,LANDSAT 5
0.22380322451430137,1991-12-01,LANDSAT 5
0.06557203583999276,1992-01-01,LANDSAT 5
0.3033170829996693,1992-02-01,LANDSAT 5
0.3897933677187915,1992-03-01,LANDSAT 5
0.5227859469259635,1992-04-01,LANDSAT 5
0.3575322105202861,1992-05-01,LANDSAT 5
0.32077111085762783,1992-06-01,LANDSAT 5
0.2504220493208826,1992-07-01,LANDSAT 5
0.2698180773100373,1992-08-01,LANDSAT 5
0.20919643597983606,1992-09-01,LANDSAT 5
0.28724431993205574,1992-10-01,LANDSAT 5
0.26191221578829793,1992-11-01,LANDSAT 5
0.13123632966054627,1992-12-01,LANDSAT 5
0.1627578452481901,1993-01-01,LANDSAT 5
0.05515652315904395,1993-02-01,LANDSAT 5
0.20394816373949273,1993-03-01,LANDSAT 5
0.40436473032392684,1993-04-01,LANDSAT 5
0.35621952214935415,1993-05-01,LANDSAT 5
0.23125788795324478,1993-06-01,LANDSAT 5
0.32134626576208425,1993-07-01,LANDSAT 5
