NDVI,month-year,landsat
0.22967336647061762,1984-03-01,LANDSAT 5
0.20941571932079314,1984-04-01,LANDSAT 5
0.14697849636918958,1984-06-01,LANDSAT 5
0.1570782228826922,1984-08-01,LANDSAT 5
0.11723877834117674,1984-09-01,LANDSAT 5
0.1462462431515723,1984-10-01,LANDSAT 5
0.1539456809654827,1984-12-01,LANDSAT 5
0.21039890533689157,1985-04-01,LANDSAT 5
0.1983631384143958,1985-07-01,LANDSAT 5
0.1905982187389137,1985-08-01,LANDSAT 5
0.1564220152735649,1985-09-01,LANDSAT 5
0.1283581314208172,1985-11-01,LANDSAT 5
0.13381287723131188,1986-01-01,LANDSAT 5
0.3231872853002381,1986-02-01,LANDSAT 5
0.19846989443991359,1986-03-01,LANDSAT 5
0.020506708675692393,1986-04-01,LANDSAT 5
0.2235975640575313,1986-05-01,LANDSAT 5
0.16999269998932068,1986-06-01,LANDSAT 5
0.20563106286228366,1986-07-01,LANDSAT 5
0.20111446590101825,1986-08-01,LANDSAT 5
0.18550202193392307,1986-09-01,LANDSAT 5
0.1179050535925106,1986-10-01,LANDSAT 5
0.23037756988357141,1986-11-01,LANDSAT 5
0.26154908240527974,1986-12-01,LANDSAT 5
0.16310462528548286,1987-01-01,LANDSAT 5
0.23685618582251178,1987-02-01,LANDSAT 5
0.282817870585698,1987-03-01,LANDSAT 5
0.1761845686456163,1987-04-01,LANDSAT 5
0.13161075146929185,1987-05-01,LANDSAT 5
0.20189007548618654,1987-06-01,LANDSAT 5
0.20426500287758417,1987-07-01,LANDSAT 5
0.18052428006252602,1987-08-01,LANDSAT 5
0.1205387483508507,1987-09-01,LANDSAT 5
0.23475397115295332,1988-03-01,LANDSAT 5
0.18219169105737346,1988-04-01,LANDSAT 5
0.0786520926648648,1988-05-01,LANDSAT 5
0.14523780751204876,1988-06-01,LANDSAT 5
0.19956397714596855,1988-07-01,LANDSAT 5
0.1250562626577492,1988-08-01,LANDSAT 5
0.18867249061476016,1988-09-01,LANDSAT 5
0.05221388459026762,1988-10-01,LANDSAT 5
0.23767094437057829,1989-03-01,LANDSAT 5
0.1799269971963605,1989-04-01,LANDSAT 5
0.19291268101080647,1989-05-01,LANDSAT 5
0.18263739930703263,1989-06-01,LANDSAT 5
0.143801405176646,1989-07-01,LANDSAT 5
0.1032377497447221,1989-08-01,LANDSAT 5
0.12970580199828272,1989-09-01,LANDSAT 5
0.14540565754426843,1989-10-01,LANDSAT 5
0.17105724749244278,1989-11-01,LANDSAT 5
0.1630222636840515,1990-02-01,LANDSAT 5
0.09043098461011595,1990-04-01,LANDSAT 5
0.12318562800295206,1990-05-01,LANDSAT 5
0.15863827237835562,1990-06-01,LANDSAT 5
0.15830689904638356,1990-08-01,LANDSAT 5
0.11981201336028005,1990-09-01,LANDSAT 5
0.12822524457757437,1990-10-01,LANDSAT 5
0.1293541382409517,1991-03-01,LANDSAT 5
0.12737376839631503,1991-04-01,LANDSAT 5
0.16466360361537466,1991-05-01,LANDSAT 5
0.035509428656898,1991-06-01,LANDSAT 5
0.15849474449304965,1991-07-01,LANDSAT 5
0.09229349773766621,1991-08-01,LANDSAT 5
0.1736514331520371,1991-09-01,LANDSAT 5
0.15519472025144612,1991-10-01,LANDSAT 5
0.10989206370832247,1991-12-01,LANDSAT 5
0.1939699328072665,1992-01-01,LANDSAT 5
0.14606140625523065,1992-03-01,LANDSAT 5
0.26943450348136244,1992-04-01,LANDSAT 5
0.11942299038348525,1992-05-01,LANDSAT 5
0.22574998912923047,1992-06-01,LANDSAT 5
0.15587230343735775,1992-07-01,LANDSAT 5
0.0982275287494311,1992-08-01,LANDSAT 5
0.12804163057718124,1992-09-01,LANDSAT 5
0.15531141663069856,1992-10-01,LANDSAT 5
0.13166199643400378,1992-11-01,LANDSAT 5
0.16893058434666344,1992-12-01,LANDSAT 5
0.22355650782328354,1993-01-01,LANDSAT 5
0.04800482658162914,1993-02-01,LANDSAT 5
0.12626556129028307,1993-03-01,LANDSAT 5
0.26936627868267077,1993-04-01,LANDSAT 5
0.18843962306692805,1993-05-01,LANDSAT 5
0.21411730500903803,1993-06-01,LANDSAT 5
0.1426656605942011,1993-07-01,LANDSAT 5
0.15925813332260685,1993-08-01,LANDSAT 5
0.07588209936676474,1993-09-01,LANDSAT 5
0.13687663080739543,1993-10-01,LANDSAT 5
0.085408672170786,1993-11-01,LANDSAT 5
0.15623587431211255,1993-12-01,LANDSAT 5
0.136300928640073,1994-01-01,LANDSAT 5
0.1337831208063853,1994-02-01,LANDSAT 5
0.2644101833875992,1994-03-01,LANDSAT 5
0.1902010350870131,1994-04-01,LANDSAT 5
0.16400640342577505,1994-05-01,LANDSAT 5
0.22949193304707297,1994-06-01,LANDSAT 5
0.2102681753453994,1994-07-01,LANDSAT 5
0.18392800370054482,1994-08-01,LANDSAT 5
0.18540712270471868,1994-09-01,LANDSAT 5
0.15907327236468943,1994-10-01,LANDSAT 5
0.011624680598960643,1994-11-01,LANDSAT 5
0.11299685262557943,1994-12-01,LANDSAT 5
0.1238536501357543,1995-01-01,LANDSAT 5
0.01049420323892418,1995-03-01,LANDSAT 5
0.10644786490014409,1995-04-01,LANDSAT 5
0.036131323929766944,1995-05-01,LANDSAT 5
0.22196501873988064,1995-06-01,LANDSAT 5
0.12840677655604024,1995-07-01,LANDSAT 5
0.18760950590781753,1995-08-01,LANDSAT 5
0.20861452785639878,1995-09-01,LANDSAT 5
0.0010791672948776245,1995-10-01,LANDSAT 5
0.08220690266832921,1995-12-01,LANDSAT 5
0.037879817536975356,1996-01-01,LANDSAT 5
0.030506921357905867,1996-02-01,LANDSAT 5
0.21212070776865835,1996-03-01,LANDSAT 5
0.24721952128837552,1996-04-01,LANDSAT 5
0.20471333996644905,1996-05-01,LANDSAT 5
0.19530277716218622,1996-06-01,LANDSAT 5
0.14981312238636527,1996-07-01,LANDSAT 5
0.17185659509125867,1996-08-01,LANDSAT 5
0.1719269427441976,1996-09-01,LANDSAT 5
0.09523384447564459,1996-10-01,LANDSAT 5
0.1155170364166885,1996-11-01,LANDSAT 5
0.18103645012287337,1996-12-01,LANDSAT 5
0.30800412620039885,1997-01-01,LANDSAT 5
0.3196213221863166,1997-02-01,LANDSAT 5
0.1685877107347135,1997-03-01,LANDSAT 5
0.2280832874773577,1997-04-01,LANDSAT 5
0.12921578912881068,1997-05-01,LANDSAT 5
0.13610484266915507,1997-06-01,LANDSAT 5
0.1305433099959216,1997-07-01,LANDSAT 5
0.18136162057665592,1997-08-01,LANDSAT 5
0.10758707399345428,1997-09-01,LANDSAT 5
0.20591528875393417,1997-10-01,LANDSAT 5
0.20217724246186675,1997-11-01,LANDSAT 5
0.2312876942560356,1997-12-01,LANDSAT 5
0.27635849004878427,1998-01-01,LANDSAT 5
0.0037668268822444477,1998-02-01,LANDSAT 5
0.21602460089544118,1998-03-01,LANDSAT 5
0.1761391702455478,1998-04-01,LANDSAT 5
0.09743398257328693,1998-05-01,LANDSAT 5
0.2535624450387401,1998-06-01,LANDSAT 5
0.22625317365426337,1998-07-01,LANDSAT 5
0.15200864420573257,1998-08-01,LANDSAT 5
0.2024540091829717,1998-09-01,LANDSAT 5
0.2111263476021569,1998-10-01,LANDSAT 5
0.2086594092882148,1998-11-01,LANDSAT 5
0.22653869583822236,1998-12-01,LANDSAT 5
0.1624872501839539,1999-07-01,LANDSAT 7
0.1961845917086077,1999-08-01,LANDSAT 7
0.19391873390512843,1999-09-01,LANDSAT 7
0.15021335454527096,1999-10-01,LANDSAT 7
0.1666524488217018,1999-11-01,LANDSAT 7
0.1859981431661935,1999-12-01,LANDSAT 7
0.13497189430804885,2000-01-01,LANDSAT 7
0.11513274522672422,2000-02-01,LANDSAT 7
0.16812962200437853,2000-03-01,LANDSAT 7
0.227102034723111,2000-04-01,LANDSAT 7
0.19122269890259158,2000-05-01,LANDSAT 7
0.20860208202801367,2000-06-01,LANDSAT 7
0.24217665882299128,2000-07-01,LANDSAT 7
0.20864755929078646,2000-08-01,LANDSAT 7
0.1595632930026813,2000-09-01,LANDSAT 7
0.18794836695121736,2000-10-01,LANDSAT 7
0.2136048416708719,2000-11-01,LANDSAT 7
0.1712756662790699,2000-12-01,LANDSAT 7
0.11276413784331941,2001-01-01,LANDSAT 7
0.12114294781835654,2001-02-01,LANDSAT 7
0.19530333191159582,2001-03-01,LANDSAT 7
0.26814626063308755,2001-04-01,LANDSAT 7
0.23196555467505295,2001-05-01,LANDSAT 7
0.21883299996164648,2001-06-01,LANDSAT 7
0.2073830532691207,2001-07-01,LANDSAT 7
0.16619087035155125,2001-08-01,LANDSAT 7
0.1906511643562341,2001-09-01,LANDSAT 7
0.19086195111850793,2001-10-01,LANDSAT 7
0.10926739022418828,2001-11-01,LANDSAT 7
0.13344189437227535,2001-12-01,LANDSAT 7
0.22262299375251765,2002-01-01,LANDSAT 7
0.2097271063001104,2002-02-01,LANDSAT 7
0.2018845570020152,2002-03-01,LANDSAT 7
0.18565656089025756,2002-04-01,LANDSAT 7
0.15608175305345665,2002-05-01,LANDSAT 7
0.17556972211779528,2002-06-01,LANDSAT 7
0.15251203162854704,2002-07-01,LANDSAT 7
