NDVI,month-year,landsat
0.17658956189008515,1984-04-01,LANDSAT 5
0.14116474750911137,1984-05-01,LANDSAT 5
0.16337961317235825,1984-06-01,LANDSAT 5
0.03412652108473641,1984-07-01,LANDSAT 5
0.15378875993748953,1984-09-01,LANDSAT 5
0.16174740320968273,1984-10-01,LANDSAT 5
0.1762783456444534,1984-11-01,LANDSAT 5
0.16664550548374552,1984-12-01,LANDSAT 5
0.12599843642421868,1985-03-01,LANDSAT 5
0.18848734777069018,1985-04-01,LANDSAT 5
0.14353028792271758,1985-05-01,LANDSAT 5
0.024469055085312,1985-06-01,LANDSAT 5
0.09634287170078686,1985-07-01,LANDSAT 5
0.0632391358141438,1985-08-01,LANDSAT 5
0.004287132476522686,1985-09-01,LANDSAT 5
0.14672083375052886,1985-10-01,LANDSAT 5
-0.0088839311790617,1985-11-01,LANDSAT 5
0.1476752354136112,1986-01-01,LANDSAT 5
0.050595367351657164,1986-02-01,LANDSAT 5
0.16119662330670428,1986-03-01,LANDSAT 5
0.06979294364642698,1986-04-01,LANDSAT 5
0.1815829218494056,1986-05-01,LANDSAT 5
0.10666846669157573,1986-06-01,LANDSAT 5
0.09789836996049622,1986-07-01,LANDSAT 5
0.060750034125556705,1986-08-01,LANDSAT 5
0.12872152712454932,1986-09-01,LANDSAT 5
0.12930642450936636,1986-10-01,LANDSAT 5
0.1085159665200453,1986-11-01,LANDSAT 5
0.13757261045738045,1987-01-01,LANDSAT 5
0.14787026261701142,1987-02-01,LANDSAT 5
0.2760054561293157,1987-03-01,LANDSAT 5
0.1887599625644318,1987-04-01,LANDSAT 5
0.0788037021017123,1987-05-01,LANDSAT 5
0.08213272379904091,1987-06-01,LANDSAT 5
0.09831500069132665,1987-07-01,LANDSAT 5
0.08798020988692222,1987-08-01,LANDSAT 5
0.11113409199134007,1987-09-01,LANDSAT 5
0.10786666679659457,1987-10-01,LANDSAT 5
0.1804841349047722,1988-03-01,LANDSAT 5
0.11501875397558847,1988-04-01,LANDSAT 5
0.1789683401701123,1988-05-01,LANDSAT 5
0.1622670207289572,1988-06-01,LANDSAT 5
0.08243007075909703,1988-07-01,LANDSAT 5
0.0014076626337148318,1988-08-01,LANDSAT 5
0.0018577058980516472,1988-09-01,LANDSAT 5
