NDVI,month-year,landsat
0.19593966649099562,1984-04-01,LANDSAT 5
0.2479563361566013,1984-05-01,LANDSAT 5
0.22906369473779842,1984-06-01,LANDSAT 5
0.17543877505829655,1984-07-01,LANDSAT 5
0.21063197243312604,1984-09-01,LANDSAT 5
0.21743821794762971,1984-10-01,LANDSAT 5
0.25442374347458585,1984-11-01,LANDSAT 5
0.16383649000336292,1984-12-01,LANDSAT 5
0.12588068930780885,1985-01-01,LANDSAT 5
0.32847930261494923,1985-03-01,LANDSAT 5
0.3104835379065993,1985-04-01,LANDSAT 5
0.2639586140973133,1985-05-01,LANDSAT 5
0.26631305168538805,1985-06-01,LANDSAT 5
0.21291352300667693,1985-07-01,LANDSAT 5
0.11623432950487757,1985-08-01,LANDSAT 5
0.14546677090791943,1985-09-01,LANDSAT 5
0.18592524881272643,1985-10-01,LANDSAT 5
0.06452349699642007,1985-11-01,LANDSAT 5
0.27056840090569534,1985-12-01,LANDSAT 5
0.26890535299792173,1986-01-01,LANDSAT 5
0.35041468489859107,1986-02-01,LANDSAT 5
0.19548549313709868,1986-03-01,LANDSAT 5
0.045072823502485815,1986-04-01,LANDSAT 5
0.2752915276977412,1986-05-01,LANDSAT 5
0.23634304974400988,1986-06-01,LANDSAT 5
0.2247738089140247,1986-07-01,LANDSAT 5
0.1606261929105575,1986-08-01,LANDSAT 5
0.19960911320167193,1986-09-01,LANDSAT 5
0.1951713903459318,1986-10-01,LANDSAT 5
0.10409990232901184,1986-11-01,LANDSAT 5
0.1396231417030602,1986-12-01,LANDSAT 5
0.17728674669994562,1987-01-01,LANDSAT 5
0.23033145093865912,1987-02-01,LANDSAT 5
0.13750778866382218,1987-03-01,LANDSAT 5
0.29697823040470583,1987-04-01,LANDSAT 5
0.1460899605948499,1987-05-01,LANDSAT 5
0.21125308840980944,1987-06-01,LANDSAT 5
0.21261462508539705,1987-07-01,LANDSAT 5
0.1974075737179945,1987-08-01,LANDSAT 5
0.1866268712255756,1987-09-01,LANDSAT 5
0.1796630007786531,1987-10-01,LANDSAT 5
0.28612486179966873,1988-03-01,LANDSAT 5
0.18913466358444375,1988-04-01,LANDSAT 5
0.21328585526155902,1988-05-01,LANDSAT 5
0.188369100860812,1988-06-01,LANDSAT 5
0.19926899973643028,1988-07-01,LANDSAT 5
0.179122969781729,1988-08-01,LANDSAT 5
0.14796790426004824,1988-09-01,LANDSAT 5
0.15967755598808264,1988-10-01,LANDSAT 5
0.09467069721913231,1988-11-01,LANDSAT 5
0.16043064415936617,1988-12-01,LANDSAT 5
0.08206020117468142,1989-01-01,LANDSAT 5
0.15540557286621023,1989-02-01,LANDSAT 5
0.20356025498164684,1989-03-01,LANDSAT 5
0.049972196103147196,1989-04-01,LANDSAT 5
0.2230095718499939,1989-05-01,LANDSAT 5
0.20988866320415123,1989-06-01,LANDSAT 5
0.19573876743050386,1989-07-01,LANDSAT 5
0.18695644754294005,1989-08-01,LANDSAT 5
0.1857131972862134,1989-09-01,LANDSAT 5
0.21476562716767814,1989-10-01,LANDSAT 5
0.19827960789168775,1989-11-01,LANDSAT 5
0.17102239359522253,1989-12-01,LANDSAT 5
0.18496742935330035,1990-01-01,LANDSAT 5
0.07876323855016616,1990-02-01,LANDSAT 5
0.20597617968968893,1990-03-01,LANDSAT 5
0.36021671211786277,1990-04-01,LANDSAT 5
0.1775973480322302,1990-05-01,LANDSAT 5
0.21615815784707829,1990-06-01,LANDSAT 5
0.1860768780145457,1990-08-01,LANDSAT 5
0.13597278979424146,1990-09-01,LANDSAT 5
0.18913367572412607,1990-10-01,LANDSAT 5
0.2142092756229093,1991-03-01,LANDSAT 5
0.4681244522839758,1991-04-01,LANDSAT 5
0.24929733426260509,1991-05-01,LANDSAT 5
0.17552820438388947,1991-06-01,LANDSAT 5
0.18454037007169127,1991-07-01,LANDSAT 5
0.15324551317384208,1991-08-01,LANDSAT 5
0.1759647153043468,1991-09-01,LANDSAT 5
0.1355223911881681,1991-10-01,LANDSAT 5
0.19011241807698448,1991-11-01,LANDSAT 5
0.11845793825541055,1991-12-01,LANDSAT 5
0.15947090625072105,1992-01-01,LANDSAT 5
0.30154684964528444,1992-04-01,LANDSAT 5
0.229853650203728,1992-05-01,LANDSAT 5
0.20234520304513312,1992-06-01,LANDSAT 5
0.065170106769753,1992-07-01,LANDSAT 5
0.11150219804458836,1992-08-01,LANDSAT 5
0.17737413636341134,1992-09-01,LANDSAT 5
0.1486474292830258,1992-10-01,LANDSAT 5
0.0996146404006304,1992-11-01,LANDSAT 5
0.15477599407298653,1992-12-01,LANDSAT 5
0.15979554023703366,1993-01-01,LANDSAT 5
0.1602802621376526,1993-02-01,LANDSAT 5
0.2664491236131332,1993-03-01,LANDSAT 5
0.27649990871209257,1993-04-01,LANDSAT 5
0.14329926931876855,1993-05-01,LANDSAT 5
0.23226168981213333,1993-06-01,LANDSAT 5
0.21597341793219338,1993-07-01,LANDSAT 5
0.07132965961980423,1993-08-01,LANDSAT 5
0.16825405180470393,1993-09-01,LANDSAT 5
0.19597993093314528,1993-10-01,LANDSAT 5
0.18341850776432247,1993-11-01,LANDSAT 5
0.18358934167430613,1993-12-01,LANDSAT 5
0.1752107953209984,1994-01-01,LANDSAT 5
0.09015223734511717,1994-02-01,LANDSAT 5
0.29134042473203686,1994-03-01,LANDSAT 5
0.24035544657867036,1994-04-01,LANDSAT 5
0.15630286898162762,1994-05-01,LANDSAT 5
0.22237330505524827,1994-06-01,LANDSAT 5
0.20467500297328117,1994-07-01,LANDSAT 5
0.1984393770147327,1994-08-01,LANDSAT 5
0.16603317728732453,1994-09-01,LANDSAT 5
0.1756070608116739,1994-10-01,LANDSAT 5
0.19470876378955299,1994-11-01,LANDSAT 5
0.09917037237475343,1994-12-01,LANDSAT 5
0.1337079479381509,1995-01-01,LANDSAT 5
0.09194254079427608,1995-02-01,LANDSAT 5
0.28764236653310626,1995-03-01,LANDSAT 5
0.12103251661965644,1995-04-01,LANDSAT 5
0.24711686773036032,1995-05-01,LANDSAT 5
0.08617245928378937,1995-06-01,LANDSAT 5
0.1591631456874136,1995-07-01,LANDSAT 5
0.21291424430339279,1995-08-01,LANDSAT 5
0.17690248640536696,1995-09-01,LANDSAT 5
0.18214644713290112,1995-10-01,LANDSAT 5
0.1621256289331689,1995-11-01,LANDSAT 5
0.18118076957477405,1995-12-01,LANDSAT 5
0.20279308216022388,1996-01-01,LANDSAT 5
0.2919749131108557,1996-02-01,LANDSAT 5
0.2535251531724564,1996-03-01,LANDSAT 5
0.29330771943927936,1996-04-01,LANDSAT 5
0.2935557482488029,1996-05-01,LANDSAT 5
0.2460688957244288,1996-06-01,LANDSAT 5
0.20892884589560576,1996-07-01,LANDSAT 5
0.21087405261504208,1996-08-01,LANDSAT 5
0.07597759425764952,1996-09-01,LANDSAT 5
0.2029904853066073,1996-10-01,LANDSAT 5
0.16007513939735418,1996-11-01,LANDSAT 5
0.2067525318190772,1996-12-01,LANDSAT 5
0.15001973169483523,1997-01-01,LANDSAT 5
0.15795582208044195,1997-02-01,LANDSAT 5
0.25214632707596074,1997-03-01,LANDSAT 5
0.12544695931908992,1997-04-01,LANDSAT 5
0.21835883155885716,1997-05-01,LANDSAT 5
0.23313048415212642,1997-06-01,LANDSAT 5
0.21194659167392482,1997-07-01,LANDSAT 5
0.13690283939828457,1997-08-01,LANDSAT 5
0.19979700533452838,1997-09-01,LANDSAT 5
0.20428808249174787,1997-10-01,LANDSAT 5
0.16837194069924316,1997-11-01,LANDSAT 5
0.1505319884917866,1997-12-01,LANDSAT 5
0.14684743471425057,1998-01-01,LANDSAT 5
0.2860489639645626,1998-02-01,LANDSAT 5
0.2041444475521597,1998-03-01,LANDSAT 5
0.2674152704037918,1998-04-01,LANDSAT 5
0.19708488908078411,1998-05-01,LANDSAT 5
0.16423541631084565,1998-06-01,LANDSAT 5
0.24025962638711712,1998-07-01,LANDSAT 5
0.20196050225930826,1998-08-01,LANDSAT 5
0.20327513962958724,1998-09-01,LANDSAT 5
0.22198415996869597,1998-10-01,LANDSAT 5
0.09089877258613882,1998-11-01,LANDSAT 5
0.15739179571243261,1998-12-01,LANDSAT 5
0.29194076395894003,1999-06-01,LANDSAT 7
0.2149081395135085,1999-07-01,LANDSAT 7
0.2092449623357474,1999-08-01,LANDSAT 7
0.20075269661761005,1999-09-01,LANDSAT 7
0.19495570574468657,1999-10-01,LANDSAT 7
0.14812439527070584,1999-11-01,LANDSAT 7
0.182679693204006,1999-12-01,LANDSAT 7
0.08780313530996997,2000-01-01,LANDSAT 7
0.2545054806268573,2000-02-01,LANDSAT 7
0.2628325166821772,2000-03-01,LANDSAT 7
0.20772383569328762,2000-04-01,LANDSAT 7
0.24811235342189925,2000-05-01,LANDSAT 7
0.2315145277497594,2000-06-01,LANDSAT 7
0.22886180945466,2000-07-01,LANDSAT 7
