NDVI,month-year,landsat
0.07877006796664135,1984-04-01,LANDSAT 5
0.18518223972379347,1984-05-01,LANDSAT 5
0.17670535351373945,1984-06-01,LANDSAT 5
0.14042654639522062,1984-07-01,LANDSAT 5
0.14700644816863934,1984-08-01,LANDSAT 5
0.1813589882245701,1984-11-01,LANDSAT 5
0.0024441611539580427,1984-12-01,LANDSAT 5
0.07460201780907208,1985-01-01,LANDSAT 5
0.16995106745137917,1985-03-01,LANDSAT 5
0.21877674989694293,1985-06-01,LANDSAT 5
0.21900598723973133,1985-07-01,LANDSAT 5
0.2193980622013781,1985-08-01,LANDSAT 5
0.21740625536601363,1985-09-01,LANDSAT 5
0.19711628180894902,1985-10-01,LANDSAT 5
0.19153975336404755,1985-11-01,LANDSAT 5
0.05851127785575367,1985-12-01,LANDSAT 5
0.12057352219028322,1986-01-01,LANDSAT 5
0.10596162935755915,1986-02-01,LANDSAT 5
0.12917166317222023,1986-03-01,LANDSAT 5
0.11009307565264005,1986-04-01,LANDSAT 5
0.20488584625808035,1986-05-01,LANDSAT 5
0.2042779614204008,1986-06-01,LANDSAT 5
0.2125200395524628,1986-07-01,LANDSAT 5
0.22011765303112443,1986-08-01,LANDSAT 5
0.15715707055443767,1986-09-01,LANDSAT 5
0.03158088889582567,1986-10-01,LANDSAT 5
0.11879587487279274,1986-11-01,LANDSAT 5
0.043854675911338785,1986-12-01,LANDSAT 5
0.0848475858282171,1987-01-01,LANDSAT 5
0.15189649059822039,1987-02-01,LANDSAT 5
0.11224493932552948,1987-04-01,LANDSAT 5
0.21794714016116404,1987-05-01,LANDSAT 5
0.20993719464296723,1987-06-01,LANDSAT 5
0.15715486467280718,1987-07-01,LANDSAT 5
0.22898622643895086,1987-08-01,LANDSAT 5
0.22305286289753745,1987-09-01,LANDSAT 5
0.20175307872351345,1987-10-01,LANDSAT 5
0.11089904675306554,1988-02-01,LANDSAT 5
0.16497838912119137,1988-03-01,LANDSAT 5
0.10622822029449061,1988-04-01,LANDSAT 5
0.16933740868694164,1988-05-01,LANDSAT 5
0.20093402074460512,1988-06-01,LANDSAT 5
0.19569232392027666,1988-07-01,LANDSAT 5
0.13880612687498195,1988-09-01,LANDSAT 5
0.11151043438616086,1988-10-01,LANDSAT 5
0.11844177063072892,1989-03-01,LANDSAT 5
0.17567999284322833,1989-04-01,LANDSAT 5
0.1908106672543523,1989-05-01,LANDSAT 5
0.13701419426774072,1989-06-01,LANDSAT 5
0.19849175927107415,1989-07-01,LANDSAT 5
0.20239145075043624,1989-08-01,LANDSAT 5
0.2048495032053888,1989-09-01,LANDSAT 5
0.20734272999383452,1989-10-01,LANDSAT 5
0.1620001705231101,1990-01-01,LANDSAT 5
0.06096966228223328,1990-02-01,LANDSAT 5
0.15804865108470625,1990-03-01,LANDSAT 5
0.18032508527889862,1990-04-01,LANDSAT 5
0.16212880304530608,1990-05-01,LANDSAT 5
0.18370138734607527,1990-06-01,LANDSAT 5
0.20483528556866917,1990-08-01,LANDSAT 5
0.20661952734251235,1990-09-01,LANDSAT 5
0.20510288714052302,1990-10-01,LANDSAT 5
0.09435316260373655,1991-03-01,LANDSAT 5
0.1543816191215156,1991-04-01,LANDSAT 5
0.1562405361009526,1991-05-01,LANDSAT 5
0.16971452341196058,1991-06-01,LANDSAT 5
0.20736644707317087,1991-07-01,LANDSAT 5
0.24943360783619334,1991-08-01,LANDSAT 5
0.2372872235838694,1991-09-01,LANDSAT 5
0.21313991392499107,1991-10-01,LANDSAT 5
0.047547461306521446,1991-11-01,LANDSAT 5
0.04123942411432091,1992-01-01,LANDSAT 5
0.10732372353857043,1992-03-01,LANDSAT 5
0.15783520751242966,1992-04-01,LANDSAT 5
0.18867806510194057,1992-05-01,LANDSAT 5
0.21333231085721,1992-06-01,LANDSAT 5
0.21453234871187918,1992-07-01,LANDSAT 5
0.2308408071214983,1992-08-01,LANDSAT 5
0.20928439666481885,1992-09-01,LANDSAT 5
0.09584562753893121,1992-10-01,LANDSAT 5
0.04051895182468967,1992-12-01,LANDSAT 5
0.05916966583716601,1993-01-01,LANDSAT 5
0.10451330807223612,1993-02-01,LANDSAT 5
0.09301711940189983,1993-03-01,LANDSAT 5
0.15519887418267192,1993-04-01,LANDSAT 5
0.20519568269217378,1993-05-01,LANDSAT 5
0.14405052151754696,1993-06-01,LANDSAT 5
0.21156069251367868,1993-07-01,LANDSAT 5
0.1594318346259545,1993-08-01,LANDSAT 5
0.22074928112889114,1993-09-01,LANDSAT 5
0.21152032604233972,1993-10-01,LANDSAT 5
0.11923281969817298,1993-11-01,LANDSAT 5
0.11227336049669756,1993-12-01,LANDSAT 5
0.1728903017924507,1994-01-01,LANDSAT 5
0.1422998020226362,1994-02-01,LANDSAT 5
0.1510149418849361,1994-03-01,LANDSAT 5
0.15266438348498895,1994-04-01,LANDSAT 5
0.12408069123350618,1994-05-01,LANDSAT 5
0.16370510226361598,1994-06-01,LANDSAT 5
0.21177029075328194,1994-07-01,LANDSAT 5
0.18119113283895913,1994-08-01,LANDSAT 5
0.2237982020842114,1994-09-01,LANDSAT 5
0.11641719029074926,1994-10-01,LANDSAT 5
0.10474107719041158,1994-11-01,LANDSAT 5
0.17576540577565725,1994-12-01,LANDSAT 5
