NDVI,month-year,landsat
0.26203247851709693,1984-04-01,LANDSAT 5
0.263340030340541,1984-06-01,LANDSAT 5
0.2314355917067444,1984-07-01,LANDSAT 5
0.25635564565048236,1984-08-01,LANDSAT 5
0.030448051001881506,1984-10-01,LANDSAT 5
0.05132488237767582,1984-11-01,LANDSAT 5
0.03999354724006996,1984-12-01,LANDSAT 5
0.04887254313553171,1985-01-01,LANDSAT 5
0.09316626576221386,1985-02-01,LANDSAT 5
0.1696453811798519,1985-03-01,LANDSAT 5
0.05136850668357416,1985-04-01,LANDSAT 5
0.19321863667650144,1985-05-01,LANDSAT 5
0.22552147470976128,1985-06-01,LANDSAT 5
0.2313379020837765,1985-07-01,LANDSAT 5
0.21329097374960654,1985-08-01,LANDSAT 5
0.2258555090562675,1985-09-01,LANDSAT 5
0.10945396043553794,1985-10-01,LANDSAT 5
0.11023182537743322,1985-11-01,LANDSAT 5
0.09715936165003297,1986-02-01,LANDSAT 5
0.08873806012265778,1986-03-01,LANDSAT 5
0.06513033518716983,1986-04-01,LANDSAT 5
0.2205278376113119,1986-05-01,LANDSAT 5
0.29063713360980337,1986-06-01,LANDSAT 5
0.14248791909141692,1986-07-01,LANDSAT 5
0.13588848014377938,1986-08-01,LANDSAT 5
0.13903104942878766,1986-09-01,LANDSAT 5
0.12270142992377661,1986-10-01,LANDSAT 5
0.051168745021196844,1986-11-01,LANDSAT 5
0.07580288074149115,1986-12-01,LANDSAT 5
0.07825639061010235,1987-01-01,LANDSAT 5
0.14780517980264538,1987-02-01,LANDSAT 5
0.2479987322197411,1987-03-01,LANDSAT 5
0.15634248647034138,1987-04-01,LANDSAT 5
0.14090530153045547,1987-05-01,LANDSAT 5
0.2990266675792979,1987-06-01,LANDSAT 5
0.27272928777085886,1987-07-01,LANDSAT 5
0.1689711592616803,1987-08-01,LANDSAT 5
0.1692839746231535,1987-09-01,LANDSAT 5
0.028202998943656837,1987-10-01,LANDSAT 5
0.13910869653307928,1988-03-01,LANDSAT 5
0.14698123054343326,1988-04-01,LANDSAT 5
0.2533478782134492,1988-06-01,LANDSAT 5
0.23759227182674456,1988-07-01,LANDSAT 5
0.14210625932524762,1988-08-01,LANDSAT 5
0.1709953093686179,1988-09-01,LANDSAT 5
0.0390984189015098,1988-10-01,LANDSAT 5
0.22037403980342146,1989-04-01,LANDSAT 5
0.1657642892901584,1989-05-01,LANDSAT 5
0.08313197215246584,1989-06-01,LANDSAT 5
0.24764853142521417,1989-07-01,LANDSAT 5
0.17445713099035803,1989-08-01,LANDSAT 5
0.1885952573437741,1989-09-01,LANDSAT 5
0.13737393316076701,1989-10-01,LANDSAT 5
0.1582557697074704,1990-03-01,LANDSAT 5
0.247274099190966,1990-04-01,LANDSAT 5
0.16412043656165365,1990-05-01,LANDSAT 5
0.14148571374931548,1990-06-01,LANDSAT 5
0.21039640448285232,1990-07-01,LANDSAT 5
0.2323110257070847,1990-08-01,LANDSAT 5
0.13209379087808587,1990-09-01,LANDSAT 5
0.09374428801789006,1990-10-01,LANDSAT 5
0.20140020028777555,1991-03-01,LANDSAT 5
0.0902020565569556,1991-04-01,LANDSAT 5
0.1001167000122972,1991-05-01,LANDSAT 5
0.17510251702719665,1991-06-01,LANDSAT 5
0.249303129345995,1991-07-01,LANDSAT 5
0.21835026241433073,1991-08-01,LANDSAT 5
0.2604988409740457,1991-09-01,LANDSAT 5
0.122718391147947,1991-10-01,LANDSAT 5
0.0819248913881963,1992-03-01,LANDSAT 5
0.18570368904350765,1992-04-01,LANDSAT 5
0.15402359442478733,1992-05-01,LANDSAT 5
0.14085371550717835,1992-06-01,LANDSAT 5
0.25655004413616067,1992-07-01,LANDSAT 5
0.23342577802608072,1992-08-01,LANDSAT 5
0.15729486643604174,1992-09-01,LANDSAT 5
0.07940664999802936,1992-10-01,LANDSAT 5
0.028042935973185534,1992-11-01,LANDSAT 5
0.031599242732471805,1992-12-01,LANDSAT 5
0.08999183794908246,1993-01-01,LANDSAT 5
0.1428495049670671,1993-02-01,LANDSAT 5
0.17843674761034298,1993-03-01,LANDSAT 5
0.25450580657970234,1993-04-01,LANDSAT 5
0.22798811899463622,1993-05-01,LANDSAT 5
0.18817950457456836,1993-06-01,LANDSAT 5
0.28881954252822184,1993-07-01,LANDSAT 5
0.1582220868783166,1993-08-01,LANDSAT 5
0.21440214524141057,1993-09-01,LANDSAT 5
0.03955265861660383,1993-10-01,LANDSAT 5
0.070817193808386,1993-11-01,LANDSAT 5
0.10810453702859588,1993-12-01,LANDSAT 5
0.034750891990892374,1994-01-01,LANDSAT 5
0.0623381605804317,1994-02-01,LANDSAT 5
0.1429748390005856,1994-03-01,LANDSAT 5
0.14768132613648344,1994-04-01,LANDSAT 5
0.1395125878433047,1994-05-01,LANDSAT 5
0.16694404208804361,1994-06-01,LANDSAT 5
0.15525121637111022,1994-07-01,LANDSAT 5
0.18049678141924685,1994-08-01,LANDSAT 5
0.2175596236343942,1994-09-01,LANDSAT 5
0.16519370820271254,1994-11-01,LANDSAT 5
0.053818146726741074,1994-12-01,LANDSAT 5
0.09254516462643413,1995-01-01,LANDSAT 5
0.08742336154676397,1995-02-01,LANDSAT 5
0.10565492977338684,1995-03-01,LANDSAT 5
0.20713474951179367,1995-04-01,LANDSAT 5
0.24028877287396033,1995-05-01,LANDSAT 5
0.15616622098238875,1995-06-01,LANDSAT 5
