NDVI,month-year,landsat
0.18822000234070155,1984-04-01,LANDSAT 5
0.36476169157548544,1984-05-01,LANDSAT 5
0.2787369357780744,1984-06-01,LANDSAT 5
0.3736512517497903,1984-07-01,LANDSAT 5
0.2763494452485915,1984-08-01,LANDSAT 5
0.19101513663128136,1984-11-01,LANDSAT 5
0.07441058137021965,1984-12-01,LANDSAT 5
0.06173618462619552,1985-01-01,LANDSAT 5
0.17435074119431604,1985-04-01,LANDSAT 5
0.22838440258782952,1985-07-01,LANDSAT 5
0.32451635142819085,1985-08-01,LANDSAT 5
0.3911392219439942,1985-09-01,LANDSAT 5
0.17548176738838506,1985-10-01,LANDSAT 5
0.20092645895972822,1985-11-01,LANDSAT 5
0.08972369148852685,1986-03-01,LANDSAT 5
0.026950948060861103,1986-04-01,LANDSAT 5
0.32149191479251205,1986-05-01,LANDSAT 5
0.35417380665666676,1986-06-01,LANDSAT 5
0.29591005854347685,1986-07-01,LANDSAT 5
0.4102293453946517,1986-08-01,LANDSAT 5
0.27354432567692166,1986-09-01,LANDSAT 5
0.11131167301969194,1986-11-01,LANDSAT 5
0.04279420058197858,1986-12-01,LANDSAT 5
0.09213017581886077,1987-01-01,LANDSAT 5
0.031946924421670575,1987-02-01,LANDSAT 5
0.09232999892272133,1987-03-01,LANDSAT 5
0.24001887964591584,1987-04-01,LANDSAT 5
0.29640010171780296,1987-05-01,LANDSAT 5
0.22730371037732885,1987-06-01,LANDSAT 5
0.17219501471832419,1987-07-01,LANDSAT 5
0.4030606160118937,1987-08-01,LANDSAT 5
0.20091010637938062,1987-09-01,LANDSAT 5
0.28397536041330806,1987-10-01,LANDSAT 5
0.1567484552834541,1987-11-01,LANDSAT 5
0.020599140892317395,1988-01-01,LANDSAT 5
0.06382795284578129,1988-02-01,LANDSAT 5
0.10109500101307792,1988-03-01,LANDSAT 5
0.24067046469207068,1988-04-01,LANDSAT 5
0.1814935962774689,1988-05-01,LANDSAT 5
0.3243513960304476,1988-06-01,LANDSAT 5
0.28687037072602783,1988-07-01,LANDSAT 5
0.30601695732167433,1988-08-01,LANDSAT 5
0.25079690795793186,1988-09-01,LANDSAT 5
0.24997985071261294,1988-10-01,LANDSAT 5
