NDVI,month-year,landsat
0.40940560993526676,1984-05-01,LANDSAT 5
0.2485856176688598,1984-06-01,LANDSAT 5
0.38414802264191883,1984-07-01,LANDSAT 5
0.21273508719643638,1984-08-01,LANDSAT 5
0.2620012062530649,1984-10-01,LANDSAT 5
0.26504728226320073,1984-11-01,LANDSAT 5
0.10166821630214934,1985-02-01,LANDSAT 5
0.18833294761754615,1985-03-01,LANDSAT 5
0.3300082908257752,1985-04-01,LANDSAT 5
0.41801065782639385,1985-06-01,LANDSAT 5
0.18216722029192997,1985-07-01,LANDSAT 5
0.444190655312389,1985-08-01,LANDSAT 5
0.41336600260314166,1985-09-01,LANDSAT 5
0.3055612733804317,1985-10-01,LANDSAT 5
0.2599489726377939,1985-11-01,LANDSAT 5
0.11356908672612338,1986-01-01,LANDSAT 5
0.1149351016999954,1986-02-01,LANDSAT 5
0.21679058129709347,1986-03-01,LANDSAT 5
0.3772991298184641,1986-06-01,LANDSAT 5
0.47128045948927694,1986-07-01,LANDSAT 5
0.17378532062038937,1986-08-01,LANDSAT 5
0.23702220507042743,1986-09-01,LANDSAT 5
0.026897553355436706,1986-10-01,LANDSAT 5
0.18583198297264114,1986-11-01,LANDSAT 5
0.10005001497935162,1986-12-01,LANDSAT 5
0.0131116922160484,1987-01-01,LANDSAT 5
0.2787373545288316,1987-03-01,LANDSAT 5
0.3054093406580464,1987-04-01,LANDSAT 5
0.3534045268314378,1987-05-01,LANDSAT 5
0.34192611151560903,1987-06-01,LANDSAT 5
0.42663629128887404,1987-07-01,LANDSAT 5
0.22315971184316077,1987-08-01,LANDSAT 5
0.43548836077601594,1987-09-01,LANDSAT 5
0.35709637346556633,1987-10-01,LANDSAT 5
0.25907638095240654,1987-11-01,LANDSAT 5
0.20270495905902255,1987-12-01,LANDSAT 5
0.1573152527593091,1988-01-01,LANDSAT 5
0.13196706446685558,1988-02-01,LANDSAT 5
0.20811497017399527,1988-03-01,LANDSAT 5
0.2721018012946171,1988-04-01,LANDSAT 5
0.3759771386891736,1988-06-01,LANDSAT 5
0.38697055020988447,1988-07-01,LANDSAT 5
0.4109502901790241,1988-08-01,LANDSAT 5
0.22918318755907863,1988-09-01,LANDSAT 5
0.32741760349220617,1988-10-01,LANDSAT 5
0.1707978645856117,1988-11-01,LANDSAT 5
0.17087937834386274,1989-01-01,LANDSAT 5
0.14907173912971963,1989-03-01,LANDSAT 5
0.20805165506777684,1989-04-01,LANDSAT 5
0.13280794348030364,1989-06-01,LANDSAT 5
