NDVI,month-year,landsat
0.3345123796462317,1984-07-01,LANDSAT 5
0.35475114631490534,1984-08-01,LANDSAT 5
0.3218883014545599,1984-09-01,LANDSAT 5
0.29244539687542415,1984-10-01,LANDSAT 5
0.1866661162643771,1984-11-01,LANDSAT 5
0.11369901622260037,1984-12-01,LANDSAT 5
0.07674995527977138,1985-02-01,LANDSAT 5
0.13304674281717835,1985-03-01,LANDSAT 5
0.21664017564736712,1985-04-01,LANDSAT 5
0.23741353703569795,1985-06-01,LANDSAT 5
0.09469105655177693,1985-07-01,LANDSAT 5
0.3410300602897722,1985-08-01,LANDSAT 5
0.1636724182336902,1985-09-01,LANDSAT 5
0.24125398916230795,1985-10-01,LANDSAT 5
0.009755484912496112,1985-11-01,LANDSAT 5
0.05655350877974305,1986-01-01,LANDSAT 5
0.04080298601021781,1986-02-01,LANDSAT 5
0.14247666791372657,1986-04-01,LANDSAT 5
0.2449743573829801,1986-05-01,LANDSAT 5
0.1210325195546862,1986-07-01,LANDSAT 5
0.21597385558410068,1986-08-01,LANDSAT 5
0.11108635657306629,1986-09-01,LANDSAT 5
0.21739672025264065,1986-10-01,LANDSAT 5
0.12688559488884726,1986-11-01,LANDSAT 5
0.060078574206005673,1986-12-01,LANDSAT 5
0.10199059226085314,1987-01-01,LANDSAT 5
0.011123839155197891,1987-02-01,LANDSAT 5
0.09444383202568322,1987-03-01,LANDSAT 5
0.2833024093057318,1987-05-01,LANDSAT 5
0.3459400896999939,1987-06-01,LANDSAT 5
0.3188375865666822,1987-07-01,LANDSAT 5
0.2643360996349632,1987-08-01,LANDSAT 5
0.32072607468718745,1987-09-01,LANDSAT 5
0.0994255605834602,1987-11-01,LANDSAT 5
0.07652740697201862,1987-12-01,LANDSAT 5
0.09594021335640625,1988-02-01,LANDSAT 5
0.10534585032836084,1988-03-01,LANDSAT 5
0.1457858469568498,1988-04-01,LANDSAT 5
0.33050310948550227,1988-05-01,LANDSAT 5
0.3311224436499424,1988-06-01,LANDSAT 5
0.2606699223416985,1988-07-01,LANDSAT 5
0.32049647418713856,1988-08-01,LANDSAT 5
0.26707170601606917,1988-09-01,LANDSAT 5
0.1359125235780627,1988-10-01,LANDSAT 5
0.07236601054555346,1988-12-01,LANDSAT 5
0.07796960538016587,1989-01-01,LANDSAT 5
0.016014647424523694,1989-02-01,LANDSAT 5
0.0739572542127304,1989-03-01,LANDSAT 5
0.2049070365689733,1989-04-01,LANDSAT 5
0.14224884279863653,1989-05-01,LANDSAT 5
0.33331410566827724,1989-06-01,LANDSAT 5
0.04575227279388305,1989-07-01,LANDSAT 5
0.1797250993070353,1989-08-01,LANDSAT 5
0.29279348399070915,1989-09-01,LANDSAT 5
0.1702577699272551,1989-10-01,LANDSAT 5
0.1525876248930964,1989-11-01,LANDSAT 5
0.02758246594454444,1989-12-01,LANDSAT 5
0.006574020785003544,1990-01-01,LANDSAT 5
0.14565972674254946,1990-05-01,LANDSAT 5
0.30519180202894225,1990-06-01,LANDSAT 5
0.2946790205988866,1990-07-01,LANDSAT 5
0.032665273880313005,1990-09-01,LANDSAT 5
0.22390672026823658,1990-10-01,LANDSAT 5
0.1593374239090772,1990-11-01,LANDSAT 5
0.05507636946431605,1991-01-01,LANDSAT 5
0.059998609894143455,1991-02-01,LANDSAT 5
0.1424337799447677,1991-03-01,LANDSAT 5
0.3226856653981925,1991-05-01,LANDSAT 5
0.24627868248872742,1991-06-01,LANDSAT 5
0.22944330943637647,1991-07-01,LANDSAT 5
0.14500458982986034,1991-08-01,LANDSAT 5
0.0386917664231987,1991-10-01,LANDSAT 5
0.09235595895832982,1991-11-01,LANDSAT 5
0.1163165901148709,1992-01-01,LANDSAT 5
0.014232043835434633,1992-02-01,LANDSAT 5
0.1076524493146036,1992-03-01,LANDSAT 5
0.25734817809932653,1992-04-01,LANDSAT 5
0.3271102137593221,1992-05-01,LANDSAT 5
0.22226305759254109,1992-06-01,LANDSAT 5
0.1245292578805724,1992-07-01,LANDSAT 5
0.2557325145690939,1992-08-01,LANDSAT 5
0.06597968458460914,1992-09-01,LANDSAT 5
0.06305197769598632,1992-10-01,LANDSAT 5
0.1389429874257457,1992-11-01,LANDSAT 5
0.07278427026813042,1992-12-01,LANDSAT 5
