NDVI,month-year,landsat
0.06314179072575316,1984-04-01,LANDSAT 5
0.15311435272820342,1984-05-01,LANDSAT 5
0.11427300647245717,1984-06-01,LANDSAT 5
0.15388170274399157,1984-07-01,LANDSAT 5
0.17081851539633935,1984-08-01,LANDSAT 5
0.15525535281069644,1984-10-01,LANDSAT 5
0.16594473258068193,1984-11-01,LANDSAT 5
0.044416410456627094,1984-12-01,LANDSAT 5
0.14595773560562703,1985-01-01,LANDSAT 5
0.20173732463477617,1985-03-01,LANDSAT 5
0.21428627170850487,1985-04-01,LANDSAT 5
0.14923368945162963,1985-07-01,LANDSAT 5
0.1189339120933551,1985-08-01,LANDSAT 5
0.13574719870928134,1985-09-01,LANDSAT 5
0.17859603907055804,1985-10-01,LANDSAT 5
0.17508385874910676,1985-11-01,LANDSAT 5
0.17442182921939792,1985-12-01,LANDSAT 5
0.15585256444870035,1986-01-01,LANDSAT 5
0.1606178724428914,1986-02-01,LANDSAT 5
0.17232522400787126,1986-03-01,LANDSAT 5
0.1349189758685139,1986-04-01,LANDSAT 5
0.13973304863673183,1986-05-01,LANDSAT 5
0.08779864101199025,1986-06-01,LANDSAT 5
0.1282082368770285,1986-07-01,LANDSAT 5
0.15913808270299978,1986-08-01,LANDSAT 5
0.1387420321915354,1986-09-01,LANDSAT 5
0.1539024841575821,1986-10-01,LANDSAT 5
0.14910861428458508,1986-11-01,LANDSAT 5
0.08974819653890363,1986-12-01,LANDSAT 5
0.14340818837953315,1987-01-01,LANDSAT 5
0.14055320368498508,1987-02-01,LANDSAT 5
0.16333512939807981,1987-03-01,LANDSAT 5
0.15682731793513963,1987-04-01,LANDSAT 5
0.14039275594270043,1987-05-01,LANDSAT 5
0.12919823801058195,1987-06-01,LANDSAT 5
0.13666906141256033,1987-07-01,LANDSAT 5
0.11405165573071259,1987-08-01,LANDSAT 5
0.14057188644963867,1987-09-01,LANDSAT 5
0.12946685143220196,1987-10-01,LANDSAT 5
0.14288378334240218,1988-03-01,LANDSAT 5
0.13349907536071062,1988-04-01,LANDSAT 5
0.13074885058330782,1988-05-01,LANDSAT 5
0.1201648585065602,1988-06-01,LANDSAT 5
0.10592924736704533,1988-07-01,LANDSAT 5
0.13965364593032298,1988-08-01,LANDSAT 5
0.1478876424334408,1988-09-01,LANDSAT 5
0.14508341595170599,1988-10-01,LANDSAT 5
0.13362901556871773,1989-03-01,LANDSAT 5
0.1262316618800666,1989-04-01,LANDSAT 5
0.12506686766976446,1989-05-01,LANDSAT 5
0.11849617271702219,1989-06-01,LANDSAT 5
0.11487189378970719,1989-07-01,LANDSAT 5
0.11082479794332505,1989-08-01,LANDSAT 5
0.13038272733078718,1989-09-01,LANDSAT 5
0.1531216725669982,1989-10-01,LANDSAT 5
0.12641288599437478,1990-03-01,LANDSAT 5
0.11109287078751467,1990-04-01,LANDSAT 5
0.12213651316024571,1990-05-01,LANDSAT 5
0.1122046634233401,1990-06-01,LANDSAT 5
0.07392724454299313,1990-07-01,LANDSAT 5
0.13001878599472508,1990-08-01,LANDSAT 5
0.16343430321522742,1990-09-01,LANDSAT 5
0.15471182527030602,1990-10-01,LANDSAT 5
0.15800215585486155,1991-03-01,LANDSAT 5
0.1710087319159774,1991-04-01,LANDSAT 5
0.14754547008520552,1991-05-01,LANDSAT 5
0.1324193824240095,1991-06-01,LANDSAT 5
0.08929336695260917,1991-07-01,LANDSAT 5
0.11592930644187399,1991-08-01,LANDSAT 5
0.11426057503613093,1991-09-01,LANDSAT 5
0.051660441375880856,1991-10-01,LANDSAT 5
0.16509755924193598,1992-03-01,LANDSAT 5
0.16955916978874003,1992-04-01,LANDSAT 5
0.1411042875893636,1992-05-01,LANDSAT 5
0.13142980871419155,1992-06-01,LANDSAT 5
0.1091964624052583,1992-07-01,LANDSAT 5
0.12058491888872337,1992-08-01,LANDSAT 5
0.147219573049452,1992-09-01,LANDSAT 5
0.1399180649724682,1992-10-01,LANDSAT 5
0.1369013668014213,1992-11-01,LANDSAT 5
0.12138734186304562,1992-12-01,LANDSAT 5
0.0963974001098051,1993-01-01,LANDSAT 5
0.06086246459364937,1993-02-01,LANDSAT 5
0.21343318600526173,1993-03-01,LANDSAT 5
0.19506958823313386,1993-04-01,LANDSAT 5
0.15748753449700975,1993-05-01,LANDSAT 5
0.1508134417163486,1993-06-01,LANDSAT 5
0.12661363979759668,1993-07-01,LANDSAT 5
0.10982173080178619,1993-08-01,LANDSAT 5
0.13416475454370724,1993-09-01,LANDSAT 5
0.15630513416100386,1993-10-01,LANDSAT 5
0.1568874185652907,1993-11-01,LANDSAT 5
0.1441996281209286,1993-12-01,LANDSAT 5
0.11708726041572216,1994-01-01,LANDSAT 5
0.08754384331962316,1994-02-01,LANDSAT 5
0.10013991890397964,1994-03-01,LANDSAT 5
0.13513521239543602,1994-04-01,LANDSAT 5
0.13012615663754667,1994-05-01,LANDSAT 5
0.12056866508748883,1994-06-01,LANDSAT 5
0.09250506685299521,1994-07-01,LANDSAT 5
0.10916816666347441,1994-08-01,LANDSAT 5
0.12742873027598825,1994-09-01,LANDSAT 5
0.14084592361484738,1994-10-01,LANDSAT 5
0.14431988651410524,1994-11-01,LANDSAT 5
0.11182537581993279,1994-12-01,LANDSAT 5
0.08200549373293534,1995-01-01,LANDSAT 5
0.19868480041228662,1995-02-01,LANDSAT 5
0.23548965129552749,1995-03-01,LANDSAT 5
0.18761750456102247,1995-04-01,LANDSAT 5
0.1574418163832124,1995-05-01,LANDSAT 5
0.09909708215379216,1995-06-01,LANDSAT 5
0.1301654974074872,1995-07-01,LANDSAT 5
0.13038541771923612,1995-08-01,LANDSAT 5
0.17306806644258854,1995-09-01,LANDSAT 5
0.16717031598670504,1995-10-01,LANDSAT 5
0.061931811696207865,1995-11-01,LANDSAT 5
0.15954213157744646,1995-12-01,LANDSAT 5
0.142890780074769,1996-01-01,LANDSAT 5
0.1237068801896972,1996-02-01,LANDSAT 5
0.12850337224889186,1996-03-01,LANDSAT 5
0.11614168669038288,1996-04-01,LANDSAT 5
0.11615923555878026,1996-05-01,LANDSAT 5
0.09590293817181153,1996-06-01,LANDSAT 5
0.10770265483428199,1996-07-01,LANDSAT 5
0.12399570056875814,1996-08-01,LANDSAT 5
0.15068246645339148,1996-09-01,LANDSAT 5
0.1546547318387069,1996-10-01,LANDSAT 5
0.15921837515903398,1996-11-01,LANDSAT 5
0.1274865156999248,1996-12-01,LANDSAT 5
0.09410371677655037,1997-01-01,LANDSAT 5
0.1322246048959459,1997-02-01,LANDSAT 5
0.13020387266031505,1997-03-01,LANDSAT 5
0.1324699035024142,1997-04-01,LANDSAT 5
0.12229868210207863,1997-05-01,LANDSAT 5
0.11887406969376554,1997-06-01,LANDSAT 5
0.10274234867548833,1997-07-01,LANDSAT 5
0.1278793291835506,1997-08-01,LANDSAT 5
0.13709147346734155,1997-09-01,LANDSAT 5
0.0675858651729221,1997-10-01,LANDSAT 5
0.1244015940960617,1997-11-01,LANDSAT 5
0.05687388707374235,1997-12-01,LANDSAT 5
0.11574359301561324,1998-01-01,LANDSAT 5
0.13294591933204955,1998-02-01,LANDSAT 5
0.16403454041929613,1998-03-01,LANDSAT 5
0.10041014081740215,1998-04-01,LANDSAT 5
0.13564226074973573,1998-05-01,LANDSAT 5
0.14580515837584385,1998-06-01,LANDSAT 5
0.1317421890805626,1998-07-01,LANDSAT 5
0.11895850990034526,1998-08-01,LANDSAT 5
0.15911788438117416,1998-09-01,LANDSAT 5
0.15468501155782963,1998-10-01,LANDSAT 5
0.1496684969183747,1998-11-01,LANDSAT 5
0.13872773056549126,1998-12-01,LANDSAT 5
0.1717270683296784,1999-07-01,LANDSAT 7
0.17166130037873364,1999-08-01,LANDSAT 7
0.1688796997456803,1999-09-01,LANDSAT 7
0.1549706307480534,1999-10-01,LANDSAT 7
0.14526425505270535,1999-11-01,LANDSAT 7
0.11538986144289028,1999-12-01,LANDSAT 7
0.12252519867850692,2000-01-01,LANDSAT 7
0.10238465237864684,2000-02-01,LANDSAT 7
0.11636804804076986,2000-03-01,LANDSAT 7
0.1209322450915351,2000-04-01,LANDSAT 7
0.11349682795018069,2000-05-01,LANDSAT 7
0.10663398214827703,2000-06-01,LANDSAT 7
0.12531190350623908,2000-07-01,LANDSAT 7
0.14231649696984555,2000-08-01,LANDSAT 7
0.13372632469377493,2000-09-01,LANDSAT 7
0.09973861167862694,2000-10-01,LANDSAT 7
0.15257730878295292,2000-11-01,LANDSAT 7
0.133849437984008,2000-12-01,LANDSAT 7
0.1848515570608451,2001-01-01,LANDSAT 7
0.14768981391281985,2001-02-01,LANDSAT 7
0.20258271576074957,2001-03-01,LANDSAT 7
0.1806045389187209,2001-04-01,LANDSAT 7
