NDVI,month-year,landsat
0.38575689988599804,1984-04-01,LANDSAT 5
0.0724695228958493,1984-05-01,LANDSAT 5
0.3552381044766483,1984-06-01,LANDSAT 5
0.40291527593283083,1984-07-01,LANDSAT 5
0.3393907280597166,1984-08-01,LANDSAT 5
0.16105256232565773,1984-10-01,LANDSAT 5
0.3500898949169857,1984-11-01,LANDSAT 5
0.13580167601360074,1984-12-01,LANDSAT 5
0.15982000065483482,1985-01-01,LANDSAT 5
0.2587319321716358,1985-02-01,LANDSAT 5
0.12620650799780725,1985-03-01,LANDSAT 5
0.35778546406852724,1985-04-01,LANDSAT 5
0.46816830718603136,1985-06-01,LANDSAT 5
0.38130570801451374,1985-08-01,LANDSAT 5
0.385385087281654,1985-09-01,LANDSAT 5
0.044578422847079885,1985-10-01,LANDSAT 5
0.2509870472904002,1985-11-01,LANDSAT 5
0.15151469663901398,1985-12-01,LANDSAT 5
0.16706694862216057,1986-01-01,LANDSAT 5
0.09775535676664596,1986-02-01,LANDSAT 5
0.237556119286362,1986-03-01,LANDSAT 5
0.40680279412851844,1986-04-01,LANDSAT 5
0.4964185103221493,1986-05-01,LANDSAT 5
0.4088621385454452,1986-06-01,LANDSAT 5
0.4067721955948137,1986-07-01,LANDSAT 5
0.1570455617928426,1986-08-01,LANDSAT 5
0.22086109632251574,1986-09-01,LANDSAT 5
0.3930497906459652,1986-10-01,LANDSAT 5
0.2962617986880189,1986-11-01,LANDSAT 5
0.13797073999753615,1986-12-01,LANDSAT 5
0.15170706407061393,1987-01-01,LANDSAT 5
0.19164992780504006,1987-02-01,LANDSAT 5
0.10588281904761358,1987-03-01,LANDSAT 5
0.32459295534258015,1987-04-01,LANDSAT 5
0.26199504165244164,1987-05-01,LANDSAT 5
0.459001228860828,1987-06-01,LANDSAT 5
0.47121726671422526,1987-07-01,LANDSAT 5
0.418218671176136,1987-08-01,LANDSAT 5
0.4263018871445642,1987-09-01,LANDSAT 5
0.3920888577249563,1987-10-01,LANDSAT 5
0.25556694615743714,1987-11-01,LANDSAT 5
0.040968805678470034,1987-12-01,LANDSAT 5
0.07219971191415113,1988-01-01,LANDSAT 5
0.14365634309075948,1988-02-01,LANDSAT 5
0.2042015984507552,1988-03-01,LANDSAT 5
0.2915547966065316,1988-04-01,LANDSAT 5
0.4139253806577873,1988-05-01,LANDSAT 5
0.37854373342376085,1988-06-01,LANDSAT 5
0.3563484213903505,1988-07-01,LANDSAT 5
0.39981576712744227,1988-08-01,LANDSAT 5
0.4070032751439641,1988-09-01,LANDSAT 5
0.40508865492046126,1988-10-01,LANDSAT 5
0.22895791910593283,1988-11-01,LANDSAT 5
0.24204881697892652,1988-12-01,LANDSAT 5
0.17519459540830717,1989-01-01,LANDSAT 5
0.1385423795392671,1989-02-01,LANDSAT 5
0.09759087939497228,1989-03-01,LANDSAT 5
0.28249126715894335,1989-04-01,LANDSAT 5
0.23174245190196444,1989-05-01,LANDSAT 5
0.32718169732959446,1989-06-01,LANDSAT 5
0.3137687035020071,1989-07-01,LANDSAT 5
0.315895399723732,1989-08-01,LANDSAT 5
0.4178788167457817,1989-09-01,LANDSAT 5
0.35657767028952375,1989-10-01,LANDSAT 5
0.2219317570730865,1989-11-01,LANDSAT 5
