NDVI,month-year,landsat
0.28182315078014886,1984-03-01,LANDSAT 5
0.07856185307965965,1984-04-01,LANDSAT 5
0.2681975102081869,1984-05-01,LANDSAT 5
0.19246365211802968,1984-06-01,LANDSAT 5
0.284464592257898,1984-07-01,LANDSAT 5
0.18383468457504573,1984-08-01,LANDSAT 5
0.20778010699429791,1984-09-01,LANDSAT 5
0.3191713828904794,1984-10-01,LANDSAT 5
0.266429648779849,1984-11-01,LANDSAT 5
0.1961398661992277,1984-12-01,LANDSAT 5
0.18867460751954718,1985-01-01,LANDSAT 5
0.2048137293325326,1985-02-01,LANDSAT 5
0.23598769979835665,1985-03-01,LANDSAT 5
0.3196072366656981,1985-04-01,LANDSAT 5
0.2993809206758071,1985-06-01,LANDSAT 5
0.26779877575124195,1985-07-01,LANDSAT 5
0.2784378428607666,1985-08-01,LANDSAT 5
0.265218331467889,1985-09-01,LANDSAT 5
0.21373597236339964,1985-10-01,LANDSAT 5
0.16137388560516078,1985-11-01,LANDSAT 5
0.08228022098471396,1986-01-01,LANDSAT 5
0.08812165766333616,1986-02-01,LANDSAT 5
0.11456522379228556,1986-03-01,LANDSAT 5
0.25681417265687917,1986-04-01,LANDSAT 5
0.3024084350769792,1986-05-01,LANDSAT 5
0.04805069555243184,1986-06-01,LANDSAT 5
0.11376484563213751,1986-07-01,LANDSAT 5
0.3506744690620851,1986-08-01,LANDSAT 5
0.31226568865315396,1986-09-01,LANDSAT 5
0.093521403683808,1986-10-01,LANDSAT 5
0.10990835233301205,1986-11-01,LANDSAT 5
0.14896827695213236,1986-12-01,LANDSAT 5
0.016188019646762534,1987-01-01,LANDSAT 5
0.06703635817119057,1987-02-01,LANDSAT 5
0.1350514233462994,1987-03-01,LANDSAT 5
0.22108994631267054,1987-04-01,LANDSAT 5
0.21433183538368256,1987-05-01,LANDSAT 5
0.289575065221076,1987-06-01,LANDSAT 5
0.2134646026950994,1987-07-01,LANDSAT 5
0.2829513288052633,1987-08-01,LANDSAT 5
0.22336093869592558,1987-09-01,LANDSAT 5
0.33683651717475016,1987-10-01,LANDSAT 5
0.1289571289845046,1987-11-01,LANDSAT 5
0.17187601749857107,1987-12-01,LANDSAT 5
0.05202847091239718,1988-02-01,LANDSAT 5
0.12510793347351293,1988-03-01,LANDSAT 5
0.32769188733117877,1988-04-01,LANDSAT 5
0.35574618289894155,1988-05-01,LANDSAT 5
0.3767597301790485,1988-06-01,LANDSAT 5
0.3788744202084185,1988-07-01,LANDSAT 5
0.2556803968648304,1988-08-01,LANDSAT 5
0.3022441591143552,1988-09-01,LANDSAT 5
0.21901922668148982,1988-10-01,LANDSAT 5
0.06359639645831307,1988-11-01,LANDSAT 5
0.1029870676181586,1988-12-01,LANDSAT 5
0.17767479027073474,1989-01-01,LANDSAT 5
0.014525755333440155,1989-02-01,LANDSAT 5
0.2188022621772683,1989-03-01,LANDSAT 5
0.3134156223916078,1989-04-01,LANDSAT 5
0.31815625786948654,1989-05-01,LANDSAT 5
0.3683982593086016,1989-06-01,LANDSAT 5
0.03157303748911819,1989-07-01,LANDSAT 5
0.2966528103225855,1989-08-01,LANDSAT 5
0.37814839376070347,1989-09-01,LANDSAT 5
0.3236090524953194,1989-10-01,LANDSAT 5
0.2616811738547235,1989-11-01,LANDSAT 5
0.18616539886902805,1990-01-01,LANDSAT 5
0.24580868629195532,1990-05-01,LANDSAT 5
0.32861146016347687,1990-06-01,LANDSAT 5
0.3342757393619944,1990-07-01,LANDSAT 5
0.30863391446884764,1990-08-01,LANDSAT 5
0.30958396895990004,1990-09-01,LANDSAT 5
0.2046400354798384,1990-10-01,LANDSAT 5
0.10563997986355447,1990-11-01,LANDSAT 5
0.213022770655311,1990-12-01,LANDSAT 5
0.11830246577702011,1991-02-01,LANDSAT 5
0.20759638941106862,1991-03-01,LANDSAT 5
0.027448487349113183,1991-04-01,LANDSAT 5
0.34611506051649693,1991-05-01,LANDSAT 5
0.17356250977564755,1991-06-01,LANDSAT 5
0.34219180828917034,1991-07-01,LANDSAT 5
0.1253581423976206,1991-08-01,LANDSAT 5
0.28790811223878826,1991-09-01,LANDSAT 5
0.1649651697029665,1991-10-01,LANDSAT 5
0.18381774260590736,1991-11-01,LANDSAT 5
0.16735100190321023,1991-12-01,LANDSAT 5
0.13221353545771386,1992-01-01,LANDSAT 5
0.13613312388555632,1992-02-01,LANDSAT 5
0.19755711472807788,1992-03-01,LANDSAT 5
0.05441821494975004,1992-04-01,LANDSAT 5
0.2860784151450672,1992-05-01,LANDSAT 5
0.28008312752620745,1992-06-01,LANDSAT 5
0.3229558196786741,1992-07-01,LANDSAT 5
0.34027844699297266,1992-08-01,LANDSAT 5
0.09777474612514514,1992-09-01,LANDSAT 5
0.18258701533902558,1992-10-01,LANDSAT 5
0.18487927577228555,1992-11-01,LANDSAT 5
0.09591596678238343,1992-12-01,LANDSAT 5
0.11551002058317565,1993-01-01,LANDSAT 5
0.061502283520163244,1993-02-01,LANDSAT 5
0.1807224562235141,1993-03-01,LANDSAT 5
0.19613519327898907,1993-04-01,LANDSAT 5
0.2599276657938377,1993-05-01,LANDSAT 5
0.2854854009786485,1993-06-01,LANDSAT 5
0.3677296096070203,1993-07-01,LANDSAT 5
0.15423613100523456,1993-08-01,LANDSAT 5
0.0355046469371013,1993-09-01,LANDSAT 5
0.06349829269062525,1993-10-01,LANDSAT 5
0.1930252808322406,1993-11-01,LANDSAT 5
0.20488987803721612,1993-12-01,LANDSAT 5
0.10202405684804462,1994-01-01,LANDSAT 5
0.1098798587107939,1994-02-01,LANDSAT 5
0.2638235782727643,1994-04-01,LANDSAT 5
0.3351483159551103,1994-05-01,LANDSAT 5
0.2816895641963139,1994-06-01,LANDSAT 5
0.37522298320241115,1994-07-01,LANDSAT 5
0.27178602665246915,1994-08-01,LANDSAT 5
0.23461646028399233,1994-09-01,LANDSAT 5
0.2882744831310467,1994-10-01,LANDSAT 5
0.2562884832857426,1994-11-01,LANDSAT 5
0.010974800506025268,1994-12-01,LANDSAT 5
0.04830787787673467,1995-01-01,LANDSAT 5
0.06245632425744972,1995-02-01,LANDSAT 5
0.20924604697245894,1995-03-01,LANDSAT 5
0.2867501651182704,1995-04-01,LANDSAT 5
0.31206568651453614,1995-05-01,LANDSAT 5
0.2852456869678324,1995-06-01,LANDSAT 5
0.24784448392553796,1995-07-01,LANDSAT 5
0.3727354758240554,1995-08-01,LANDSAT 5
0.23510638529874778,1995-09-01,LANDSAT 5
0.3220055364589613,1995-10-01,LANDSAT 5
0.22571898885201547,1995-11-01,LANDSAT 5
0.10104023038811168,1995-12-01,LANDSAT 5
0.11544349936805418,1996-01-01,LANDSAT 5
0.12897518204763733,1996-02-01,LANDSAT 5
0.19973389526505847,1996-03-01,LANDSAT 5
0.20879168724371597,1996-04-01,LANDSAT 5
0.036653990268289055,1996-05-01,LANDSAT 5
