NDVI,month-year,landsat
0.16296035148894772,1984-03-01,LANDSAT 5
0.3546829922849789,1984-06-01,LANDSAT 5
0.3632225901404975,1984-08-01,LANDSAT 5
0.29347092742223807,1984-10-01,LANDSAT 5
0.1789170673251385,1984-11-01,LANDSAT 5
0.08401522954985768,1984-12-01,LANDSAT 5
0.0979814027782759,1985-02-01,LANDSAT 5
0.07209647228950344,1985-03-01,LANDSAT 5
0.17387342868214756,1985-04-01,LANDSAT 5
0.29629541480627675,1985-08-01,LANDSAT 5
0.3504767399038789,1985-09-01,LANDSAT 5
0.33176503494596743,1985-10-01,LANDSAT 5
0.13056453163051684,1985-11-01,LANDSAT 5
0.03771838114287657,1985-12-01,LANDSAT 5
0.13893547708749243,1986-01-01,LANDSAT 5
0.030625768326040283,1986-02-01,LANDSAT 5
0.10769408423128299,1986-03-01,LANDSAT 5
0.2682942227509349,1986-06-01,LANDSAT 5
0.2267516255865771,1986-07-01,LANDSAT 5
0.3211838786450458,1986-09-01,LANDSAT 5
0.32839098446696663,1986-10-01,LANDSAT 5
0.13383924931570929,1986-12-01,LANDSAT 5
0.06177454825938613,1987-01-01,LANDSAT 5
0.04629254551719112,1987-02-01,LANDSAT 5
0.13723371861534905,1987-03-01,LANDSAT 5
0.2707974861956669,1987-04-01,LANDSAT 5
0.3423409418405679,1987-05-01,LANDSAT 5
0.3131577671560692,1987-06-01,LANDSAT 5
0.25637555218282587,1987-07-01,LANDSAT 5
0.33457506325712794,1987-08-01,LANDSAT 5
0.33921534321337,1987-09-01,LANDSAT 5
0.279057512218814,1987-10-01,LANDSAT 5
0.03836246633871513,1987-11-01,LANDSAT 5
0.05776894285973556,1987-12-01,LANDSAT 5
0.020529200936254693,1988-01-01,LANDSAT 5
0.012007090989344037,1988-02-01,LANDSAT 5
0.10617648431414078,1988-03-01,LANDSAT 5
0.1787069123643254,1988-04-01,LANDSAT 5
0.22609725723838947,1988-06-01,LANDSAT 5
0.17494816479308056,1988-07-01,LANDSAT 5
0.2678534132333982,1988-08-01,LANDSAT 5
0.3268826472610779,1988-09-01,LANDSAT 5
0.3024289586461678,1988-10-01,LANDSAT 5
0.14165878175711583,1988-11-01,LANDSAT 5
0.13480683284504436,1989-02-01,LANDSAT 5
0.12453440352566143,1989-03-01,LANDSAT 5
0.09424639486637924,1989-05-01,LANDSAT 5
0.26565262933097356,1989-07-01,LANDSAT 5
0.36999862928668537,1989-08-01,LANDSAT 5
0.2869239185448275,1989-09-01,LANDSAT 5
0.09528660938555134,1990-01-01,LANDSAT 5
0.3962912364129733,1990-05-01,LANDSAT 5
0.10420739506063922,1990-06-01,LANDSAT 5
0.1122472151798444,1990-07-01,LANDSAT 5
0.28045809119359755,1990-08-01,LANDSAT 5
0.23907465230838806,1990-09-01,LANDSAT 5
0.1977206230555601,1990-10-01,LANDSAT 5
0.11651432684127,1990-11-01,LANDSAT 5
0.031750969103377304,1990-12-01,LANDSAT 5
0.0919890972290294,1991-01-01,LANDSAT 5
0.14228166815491805,1991-02-01,LANDSAT 5
