NDVI,month-year,landsat
0.3966016745083148,1984-05-01,LANDSAT 5
0.3001007239671803,1984-07-01,LANDSAT 5
0.27562620584378666,1984-09-01,LANDSAT 5
0.3139112848596996,1984-11-01,LANDSAT 5
0.016403583289724376,1985-01-01,LANDSAT 5
0.1798357351267059,1985-02-01,LANDSAT 5
0.33745107484865455,1985-03-01,LANDSAT 5
0.4003895824333563,1985-05-01,LANDSAT 5
0.4001156077793778,1985-08-01,LANDSAT 5
0.22361901578102336,1985-10-01,LANDSAT 5
0.07181893965248219,1986-01-01,LANDSAT 5
0.18461993278392455,1986-02-01,LANDSAT 5
0.24093081257243956,1986-03-01,LANDSAT 5
0.35084279272753766,1986-05-01,LANDSAT 5
0.2643008274233094,1986-06-01,LANDSAT 5
0.32981040707112536,1986-07-01,LANDSAT 5
0.3786681789239092,1986-08-01,LANDSAT 5
0.40660838128812793,1986-09-01,LANDSAT 5
0.23609826992631336,1986-10-01,LANDSAT 5
0.1690273032165121,1986-11-01,LANDSAT 5
0.05176967035352135,1986-12-01,LANDSAT 5
0.009443984895513076,1987-01-01,LANDSAT 5
0.31893727016735407,1987-04-01,LANDSAT 5
0.3795463651580679,1987-05-01,LANDSAT 5
0.23213341237127916,1987-06-01,LANDSAT 5
0.3618774772027116,1987-07-01,LANDSAT 5
0.39916069131852217,1987-08-01,LANDSAT 5
0.30219134920166274,1987-09-01,LANDSAT 5
0.2861050732076426,1987-10-01,LANDSAT 5
0.22719540971542768,1987-11-01,LANDSAT 5
0.18040256065673094,1988-01-01,LANDSAT 5
0.1748891355073079,1988-02-01,LANDSAT 5
0.217019193245614,1988-03-01,LANDSAT 5
0.32307734889089107,1988-04-01,LANDSAT 5
0.26627847089897605,1988-05-01,LANDSAT 5
0.22114473600167228,1988-06-01,LANDSAT 5
0.3014935713962612,1988-07-01,LANDSAT 5
0.027925264445185893,1988-08-01,LANDSAT 5
0.14355631838834249,1988-09-01,LANDSAT 5
0.04596546155071884,1988-10-01,LANDSAT 5
0.16914856782132476,1988-11-01,LANDSAT 5
0.13409596761940717,1989-02-01,LANDSAT 5
0.10556833482132345,1989-03-01,LANDSAT 5
0.06804249303276687,1989-06-01,LANDSAT 5
0.4122458021408008,1989-07-01,LANDSAT 5
0.2670757512821844,1989-08-01,LANDSAT 5
0.3303074346423963,1989-09-01,LANDSAT 5
0.2686420961549973,1989-10-01,LANDSAT 5
0.2483898214308867,1989-11-01,LANDSAT 5
0.12383539663675874,1989-12-01,LANDSAT 5
0.2183583022125508,1990-04-01,LANDSAT 5
0.3965809772210776,1990-05-01,LANDSAT 5
0.32045203318733223,1990-06-01,LANDSAT 5
0.26190937770477446,1990-07-01,LANDSAT 5
0.35315850050162045,1990-08-01,LANDSAT 5
0.3128568110604217,1990-09-01,LANDSAT 5
0.3007124985004525,1990-10-01,LANDSAT 5
0.24711863988875796,1990-11-01,LANDSAT 5
0.17848446402419907,1991-01-01,LANDSAT 5
0.19852941601570046,1991-02-01,LANDSAT 5
0.22380475931090946,1991-03-01,LANDSAT 5
0.3829176523898302,1991-05-01,LANDSAT 5
0.30650065107730307,1991-07-01,LANDSAT 5
0.2777640157921666,1991-08-01,LANDSAT 5
0.3596809228367309,1991-09-01,LANDSAT 5
0.17402289832646262,1991-10-01,LANDSAT 5
0.16912102239878968,1991-12-01,LANDSAT 5
0.14670890867334876,1992-01-01,LANDSAT 5
0.12196289526444565,1992-02-01,LANDSAT 5
0.38314773961682835,1992-04-01,LANDSAT 5
0.3612860308918197,1992-05-01,LANDSAT 5
0.37768688305467696,1992-08-01,LANDSAT 5
0.34794653277108395,1992-09-01,LANDSAT 5
0.2964183307299249,1992-10-01,LANDSAT 5
0.1897880794723502,1992-11-01,LANDSAT 5
0.16899548128871406,1992-12-01,LANDSAT 5
0.20740896394356484,1993-03-01,LANDSAT 5
0.29913940583045034,1993-04-01,LANDSAT 5
0.3879374336661197,1993-05-01,LANDSAT 5
0.17489148189915324,1993-06-01,LANDSAT 5
0.39921665225809644,1993-07-01,LANDSAT 5
0.3692443961948483,1993-08-01,LANDSAT 5
0.3350597323622607,1993-09-01,LANDSAT 5
0.22331405203211616,1993-11-01,LANDSAT 5
